DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
2 Harris 2010661 0 1327 1087 17 17 0
2 Harris 2010666 0 0 0 0 0 0
2 Harris 2010668 0 943 1184 24 16 0
2 Harris 2010669 0 788 1462 13 7 0
2 Harris 2010670 0 525 1638 11 19 0
2 Harris 2010671 0 860 847 34 7 0
2 Harris 2010674 0 822 1858 18 11 0
2 Harris 2010684 0 881 1115 14 7 0
2 Harris 2010687 0 685 1080 17 11 0
2 Harris 2010689 0 798 482 11 8 0
2 Harris 2010694 0 740 415 12 4 0
2 Harris 2010700 0 145 689 1 2 0
2 Harris 2010701 0 158 89 5 3 0
2 Harris 2010707 0 202 246 5 3 0
2 Harris 2010710 0 782 664 6 9 0
2 Harris 2010730 0 669 908 13 11 0
2 Harris 2010758 0 662 1935 24 15 0
2 Harris 2010759 0 748 819 16 16 0
2 Harris 2010760 0 232 840 9 4 0
2 Harris 2010761 0 400 777 9 6 0
2 Harris 2010764 0 1289 1551 18 16 0
2 Harris 2010771 0 365 233 6 6 0
2 Harris 2010776 0 760 908 20 11 0
2 Harris 2010802 0 12 5 0 0 0
2 Harris 2010809 0 9 19 0 0 0
2 Harris 2010823 0 782 747 18 10 0
2 Harris 2010841 0 1295 386 12 11 0
2 Harris 2010853 0 534 1348 22 11 0
2 Harris 2010874 0 651 1427 15 11 0
2 Harris 2010876 0 867 1629 13 16 0
2 Harris 2010880 0 510 1205 8 7 0
2 Harris 2010885 0 799 907 12 10 0
2 Harris 2010888 0 727 329 8 12 0
2 Harris 2010895 0 429 206 1 3 0
2 Harris 2010896 0 888 351 7 5 0
2 Harris 2010902 0 973 846 29 13 0
2 Harris 2010904 0 0 0 0 0 0
2 Harris 2010906 0 8 12 0 0 0
2 Harris 2010911 0 123 175 5 2 0
2 Harris 2010939 0 1 0 0 0 0
2 Harris 2010942 0 43 76 3 0 0
2 Harris 2010964 0 1224 1399 20 10 0
2 Harris 2010967 0 60 16 1 0 0
2 Harris 2010968 0 580 124 4 4 0
2 Harris 2010971 0 0 0 0 0 0
2 Harris 2010973 0 298 364 8 6 0
2 Harris 2010979 0 0 0 0 0 0
2 Harris 2010983 0 69 37 0 2 0
2 Harris 2011003 0 0 0 0 0 0
3 Collin 0850001 0 670 793 27 0 0
3 Collin 0850002 0 1042 1049 31 0 0
3 Collin 0850003 0 679 160 8 0 0
3 Collin 0850004 0 234 636 19 0 0
3 Collin 0850005 0 187 425 12 0 0
3 Collin 0850006 0 407 427 15 0 0
3 Collin 0850007 0 388 438 20 0 0
3 Collin 0850008 0 347 1002 23 0 0
3 Collin 0850009 0 568 817 34 0 0
3 Collin 0850010 0 80 337 7 0 0
3 Collin 0850012 0 420 774 18 0 0
3 Collin 0850013B 0 0 0 0 0 0
3 Collin 0850014 0 911 644 15 0 0
3 Collin 0850015 0 430 425 22 0 0
3 Collin 0850016 0 491 1116 23 0 0
3 Collin 0850019 0 425 633 23 0 0
3 Collin 0850021 0 1249 1382 46 0 0
3 Collin 0850023 0 866 294 23 0 0
3 Collin 0850024 0 771 384 19 0 0
3 Collin 0850025 0 1589 1694 43 0 0
3 Collin 0850026 0 464 484 16 0 0
3 Collin 0850028 0 756 783 28 0 0
3 Collin 0850030 0 1012 1513 52 0 0
3 Collin 0850031 0 590 867 20 0 0
3 Collin 0850032 0 679 927 25 0 0
3 Collin 0850034 0 1456 1109 22 0 0
3 Collin 0850036 0 466 824 17 0 0
3 Collin 0850038 0 426 394 9 0 0
3 Collin 0850039 0 916 695 24 0 0
3 Collin 0850040 0 737 1391 37 0 0
3 Collin 0850041 0 618 1622 26 0 0
3 Collin 0850043 0 898 919 26 0 0
3 Collin 0850044 0 339 329 14 0 0
3 Collin 0850045 0 587 1027 15 0 0
3 Collin 0850046 0 853 573 30 0 0
3 Collin 0850047 0 749 782 43 0 0
3 Collin 0850048 0 1051 1071 30 0 0
3 Collin 0850049 0 581 916 13 0 0
3 Collin 0850050 0 997 453 25 0 0
3 Collin 0850051 0 526 269 29 0 0
3 Collin 0850052 0 1374 639 27 0 0
3 Collin 0850053 0 603 868 34 0 0
3 Collin 0850054 0 986 661 38 0 0
3 Collin 0850055 0 1233 824 43 0 0
3 Collin 0850057 0 1057 1374 49 0 0
3 Collin 0850058 0 1010 967 32 0 0
3 Collin 0850059 0 926 1349 42 0 0
3 Collin 0850060 0 402 1064 17 0 0
3 Collin 0850061 0 443 680 12 0 0
3 Collin 0850062 0 763 737 27 0 0
3 Collin 0850063 0 516 875 19 0 0
3 Collin 0850064 0 772 798 24 0 0
3 Collin 0850065 0 327 389 19 0 0
3 Collin 0850066 0 592 658 16 0 0
3 Collin 0850067 0 727 799 28 0 0
3 Collin 0850068 0 527 569 26 0 0
3 Collin 0850069 0 1117 1322 32 0 0
3 Collin 0850070 0 480 764 23 0 0
3 Collin 0850071 0 539 634 14 0 0
3 Collin 0850072 0 402 541 16 0 0
3 Collin 0850073 0 604 370 20 0 0
3 Collin 0850074 0 536 580 21 0 0
3 Collin 0850075 0 430 825 12 0 0
3 Collin 0850076 0 926 1216 31 0 0
3 Collin 0850077 0 1108 911 28 0 0
3 Collin 0850078 0 867 849 47 0 0
3 Collin 0850079 0 675 727 19 0 0
3 Collin 0850080 0 959 1079 37 0 0
3 Collin 0850081 0 926 789 24 0 0
3 Collin 0850082 0 684 752 28 0 0
3 Collin 0850084 0 681 781 14 0 0
3 Collin 0850085 0 964 821 24 0 0
3 Collin 0850086 0 812 964 24 0 0
3 Collin 0850087 0 1788 1560 48 0 0
3 Collin 0850088 0 782 258 19 0 0
3 Collin 0850089 0 980 949 19 0 0
3 Collin 0850090 0 712 1360 23 0 0
3 Collin 0850091 0 667 723 26 0 0
3 Collin 0850092 0 837 842 43 0 0
3 Collin 0850094 0 1314 1203 25 0 0
3 Collin 0850095 0 910 900 39 0 0
3 Collin 0850096 0 314 266 14 0 0
3 Collin 0850097 0 240 720 9 0 0
