COUNTY AREA TOTAL DEM REP Linn Savage Others
COUNTY AREA TOTAL GIDEON COLLINS Linn Savage Others
SOM Embden 570 126 389 14 33 0
SOM Fairfield 3421 1110 2001 70 207 1
SOM Harmony 492 115 336 6 24 0
SOM Hartland 909 193 651 20 28 0
SOM "Highland Plt" 116 18 75 1 21 0
SOM Jackman 538 83 417 11 20 0
SOM "Lexington Twp/Spring Lake Twp" 27 5 20 1 1 0
SOM Madison 2407 668 1511 26 174 0
SOM Mercer 484 131 310 12 24 0
SOM "Moose River" 125 10 107 1 4 0
SOM Moscow 283 58 201 5 15 0
SOM "New Portland" 489 144 291 10 41 0
SOM Norridgewock 1889 461 1239 35 134 0
SOM Palmyra 1166 232 861 22 33 0
SOM Pittsfield 2069 597 1310 45 99 0
SOM "Pleasant Ridge Plt" 54 5 42 0 7 0
SOM Ripley 302 64 208 10 16 1
SOM "Rockwood Strip Twp" 215 43 163 3 5 0
SOM "Saint Albans" 1193 233 879 28 42 0
SOM Skowhegan 4245 1338 2427 72 335 0
SOM Smithfield 643 201 383 13 39 0
SOM "Solon/Concord Twp" 627 158 360 18 89 0
SOM "Spring Lake Twp" 2 0 2 0 0 0
SOM Starks 383 96 239 6 37 0
SOM "The Forks Plt" 39 12 25 1 1 0
SOM "West Forks Plt" 54 16 35 1 2 0
WAL Belfast 4293 2309 1541 47 352 3
WAL Belmont 603 182 367 11 34 1
WAL Brooks 602 191 356 8 39 0
WAL Burnham 647 190 404 13 34 1
WAL Frankfort 693 156 476 19 35 0
WAL Freedom 474 168 247 5 44 0
WAL Islesboro 446 272 143 3 24 0
WAL Jackson 341 111 199 6 23 0
WAL Knox 484 111 322 12 35 0
WAL Liberty 594 206 318 9 49 0
WAL Lincolnville 1667 865 666 10 113 2
WAL Monroe 608 232 290 14 67 0
WAL Montville 658 281 302 10 61 0
WAL Morrill 614 193 365 10 39 0
WAL Northport 1119 540 471 17 81 0
WAL Palermo 956 290 591 17 47 0
WAL Prospect 430 136 255 23 12 1
WAL Searsmont 943 329 525 15 65 1
WAL Searsport 1627 665 816 30 92 0
WAL "Stockton Springs" 1070 432 558 21 46 0
WAL Swanville 835 254 509 9 55 0
WAL Thorndike 449 168 234 7 35 0
WAL Troy 599 172 378 10 29 0
WAL Unity 957 358 510 16 59 0
WAL Waldo 507 172 285 17 31 0
WAL Winterport 2350 785 1410 35 103 0
WAS Addison 718 196 465 23 20 0
WAS Alexander 316 71 221 4 11 0
WAS Baileyville 676 167 466 20 12 3
WAS "Baring Plt" 114 40 71 0 1 0
WAS Beals 296 91 193 4 4 0
WAS Beddington 51 8 39 4 0 0
WAS Calais 1534 467 973 26 44 0
WAS "Cathance Twp" 7 1 6 0 0 0
WAS "Centerville Twp" 20 6 13 0 0 0
WAS Charlotte 219 48 159 2 10 0
WAS Cherryfield/T10 656 159 447 13 22 0
WAS Columbia 234 55 162 5 6 0
WAS "Columbia Falls" 335 85 234 6 8 0
WAS Cooper 98 24 69 1 3 0
WAS Crawford 66 14 52 0 0 0
WAS Cutler 317 65 236 2 10 0
WAS Danforth 427 68 326 11 15 0
WAS Deblois 40 6 31 2 0 0
WAS Dennysville 362 99 236 9 16 1
WAS "East Machias/Twps" 820 220 560 14 21 0
WAS Eastport 840 366 418 11 43 0
WAS "Grand Lake Stream Plt" 100 27 69 2 1 0
WAS Harrington 547 135 379 12 13 0
WAS "Indian Township" 268 157 92 7 6 0
WAS Jonesboro 348 88 238 6 13 3
WAS Jonesport 720 201 487 11 12 0
WAS Lubec 893 351 486 6 43 0
WAS Machias 910 303 513 38 43 2
WAS Machiasport 571 176 368 13 8 0
WAS Marshfield 318 60 238 4 14 0
WAS Meddybemps 106 21 80 2 2 0
WAS Milbridge/T10 742 251 435 21 20 1
WAS Northfield 125 27 89 3 4 0
WAS Pembroke 485 172 290 8 12 0
WAS Perry 476 152 301 7 12 0
WAS "Pleasant Point Voting District" 238 154 65 2 12 0
WAS Princeton 477 91 353 4 20 0
WAS Robbinston 358 107 230 2 12 0
WAS "Roque Bluffs" 184 84 98 0 1 0
WAS "Sakom Twp" 0 0 0 0 0 0
WAS Steuben/T7SD 676 191 424 13 32 0
WAS "T26 ED BPP" 4 0 4 0 0 0
WAS Talmadge 32 11 19 1 0 0
WAS Topsfield 124 17 99 5 2 0
WAS Vanceboro 95 20 71 1 0 0
WAS Waite 51 13 35 1 1 0
WAS Wesley 79 23 55 0 0 0
WAS Whiting 367 122 221 10 12 0
WAS Whitneyville 130 41 80 2 6 0
YOR Acton 1653 516 1036 32 49 0
YOR Alfred 2017 763 1116 27 86 0
YOR Arundel 2854 1115 1532 53 126 0
YOR Berwick 4413 1649 2448 102 154 0
YOR Biddeford 11207 5655 4508 186 703 3
YOR Buxton 5344 1935 3000 100 251 5
YOR Cornish 951 341 533 21 47 1
YOR Dayton 1396 430 875 17 57 0
YOR Eliot 4776 2393 2082 85 157 0
YOR Hollis 2934 988 1753 38 132 0
YOR Kennebunk 8347 4339 3493 92 330 1
YOR Kennebunkport 2781 1471 1200 21 74 0
YOR Kittery 6482 3781 2264 111 235 0
YOR Lebanon 3565 995 2304 100 115 0
YOR Limerick 1862 664 1023 40 112 0
YOR Limington 2321 675 1469 45 112 0
YOR Lyman 2980 1007 1760 54 123 0
YOR Newfield 974 279 608 24 51 0
YOR "North Berwick" 3146 1169 1779 49 106 0
YOR Ogunquit 1068 602 426 8 17 0
YOR "Old Orchard Beach" 6276 3083 2764 109 255 1
YOR Parsonsfield 1077 343 622 22 73 0
YOR Saco 12767 6333 5536 205 575 0
YOR Sanford 11040 4228 5882 258 520 1
YOR Shapleigh 1802 518 1159 33 71 0
YOR "South Berwick" 4681 2330 2036 98 163 1
YOR Waterboro 4513 1469 2707 110 197 0
YOR Wells 8051 3564 4073 88 243 0
YOR York 9764 5191 4104 127 255 3
