COUNTY AREA TOTAL DEM REP LIB IND Writein
COUNTY AREA TOTAL Hubbell Reynolds Porter Siegwarth Writein
Dickinson "Precinct No. 2" 601 188 408 2 3 0
Dickinson "Precinct No. 3" 586 204 374 3 5 0
Dickinson "Precinct No. 4 - NS Ballot #1" 209 86 119 3 1 0
Dickinson "Precinct No. 5" 869 294 560 7 7 1
Dickinson "Precinct No. 6 - NS Ballot #1" 228 83 139 2 4 0
Dickinson "Precinct No. 7" 100 33 62 5 0 0
Dickinson "Precinct No. 8" 1596 551 1024 12 9 0
Dickinson "Precinct No. 9 - NS Ballot #1" 75 17 57 0 1 0
Dickinson "Precinct No. 10" 459 164 290 4 1 0
Dickinson "Precinct No. 11" 599 246 345 4 3 1
Dickinson "Precinct No. 12" 483 141 337 3 2 0
Dickinson "Precinct No. 13 - S Ballot #1" 654 243 395 10 5 1
Dickinson "Precinct No. 14 - S Ballot #1" 416 166 243 5 2 0
Dickinson "Precinct No. 15" 1369 537 806 21 4 1
Dubuque "Rockdale Methodist Church" 1713 777 890 30 15 1
Dubuque "Theisen's Home Center" 1790 943 812 23 11 1
Dubuque "Area Residential Care" 960 531 404 19 6 0
Dubuque "Journey Church" 1800 956 809 22 12 1
Dubuque "Arbor Oaks Bible Chapel" 1599 857 710 24 8 0
Dubuque "Summit Congregational Church" 1415 700 676 30 9 0
Dubuque "St. Peter Lutheran Church" 1653 922 695 19 17 0
Dubuque "Emmaus Bible College" 996 531 429 22 14 0
Dubuque "Westminster Church Nine" 1067 625 403 17 21 1
Dubuque "Westminster Church Ten" 1380 829 488 39 24 0
Dubuque "U.A.W. Local 94" 1155 640 474 20 21 0
Dubuque "Windsor Park" 1381 792 557 22 10 0
Dubuque "Moose Lodge 355" 878 522 326 21 7 2
Dubuque "Sacred Heart Church" 656 404 219 22 11 0
Dubuque "Holy Trinity Church" 1025 619 372 20 14 0
Dubuque "Election Annex" 597 412 156 20 8 1
Dubuque "St John's Parish House" 555 341 190 20 4 0
Dubuque "Federal Building" 856 571 258 17 9 1
Dubuque YMCA/YWCA 1213 797 376 26 14 0
Dubuque "Fogarty Hall Center" 1535 881 621 17 15 1
Dubuque "Asbury City" 1665 886 754 19 6 0
Dubuque "The Meadows Golf" 2017 836 1141 26 14 0
Dubuque "Cascade City Hall" 1158 513 623 16 6 0
Dubuque "Peosta Community Center" 2069 803 1226 20 20 0
Dubuque "Luxemburg City Hall" 1223 329 867 16 11 0
Dubuque "Hope Evangelical Free Church" 1428 572 818 30 8 0
Dubuque "Dyersville Social Center 37" 581 191 383 4 3 0
Dubuque "Dyersville Social Center 38" 613 217 378 10 8 0
Dubuque "Beckman High School" 1268 387 861 13 7 0
Dubuque "Farley Memorial Hall" 674 279 378 10 7 0
