COUNTY AREA TOTAL DEM REP Hayes Others
COUNTY AREA TOTAL Mills Moody Hayes Others
PEN "East Millinocket" 797 363 368 39 0
PEN Eddington 1134 399 630 79 0
PEN Edinburg 68 24 41 2 0
PEN Enfield 653 225 368 43 0
PEN Etna 539 176 323 24 0
PEN Exeter 452 154 248 37 0
PEN "Grand Falls Twp (Burlington)" 12 4 8 0 0
PEN "Grindstone/Herseytown/Soldiertown Twps (Medway)" 23 9 13 1 0
PEN Garland 467 145 271 25 0
PEN Glenburn 2068 806 1097 121 0
PEN Greenbush 530 151 347 20 0
PEN "Herseytown Twp (Stacyville)" 16 1 13 1 0
PEN Hampden 3672 1655 1687 167 0
PEN Hermon 2890 1020 1684 130 0
PEN Holden 1769 663 994 79 0
PEN Howland 506 201 273 21 0
PEN Hudson 608 174 398 28 0
PEN "Kingman Twp (Webster Plt)" 49 7 39 2 0
PEN Kenduskeag 572 189 339 33 0
PEN Lagrange 245 97 119 21 1
PEN Lakeville 56 17 30 7 0
PEN Lee 400 115 260 21 0
PEN Levant 1203 358 754 61 0
PEN Lincoln 1939 660 1114 116 0
PEN Lowell 196 45 140 9 0
PEN "Mattamiscontis Twp (Chester)" 36 4 29 3 0
PEN "Millinocket Penobscot Twps" 123 53 64 4 0
PEN "Millinocket Piscataquis Twps" 57 19 34 1 0
PEN "Molunkus Twp (Mattawamkeag & Medway)" 27 13 12 1 0
PEN Mattawamkeag 290 99 161 24 0
PEN Maxfield 47 15 28 1 0
PEN Medway 572 180 336 37 0
PEN "Milford (and Greenfield Twp)" 1432 687 628 84 0
PEN Millinocket 1875 840 853 135 0
PEN "Mount Chase" 91 31 43 16 0
PEN Newburgh 822 293 476 37 0
PEN Newport 1344 480 766 56 0
PEN "Old Town (and Argyle Twp)" 3201 1733 1187 182 1
PEN "Orneville Twp (Lagrange)" 1 0 1 0 0
PEN Orono 4404 2969 1029 248 0
PEN Orrington 2051 826 1083 113 0
PEN "Prentiss Twp (Webster Plt)" 58 11 42 5 0
PEN Passadumkeag 175 49 118 8 0
PEN Patten 393 135 221 24 0
PEN "Penobscot Nation Voting District" 211 99 32 61 0
PEN Plymouth 553 159 332 28 0
PEN "Seboeis Plt" 30 14 16 0 0
PEN Springfield 125 24 91 9 0
PEN Stacyville 151 35 101 6 0
PEN Stetson 585 182 370 22 0
PEN "T3 ND Twp" 5 3 2 0 0
PEN "T5 R7, T5 R8, T6 R8 Twps (Mount Chase)" 11 4 6 1 0
PEN Veazie 999 537 392 53 0
PEN "Webster Plt" 32 10 15 6 0
PEN Winn 155 49 99 6 0
PEN Woodville 98 18 74 6 0
PIS Abbot 312 106 179 21 0
PIS Atkinson 205 53 119 17 0
