COUNTY AREA TOTAL DEM REP WI
COUNTY AREA TOTAL Siegelman James WRITEIN
Cherokee "18-1 Farrill" 0 133 39 0
Cherokee "19-1 Pleasant Valley" 0 48 44 0
Cherokee "20-1 Ellisville" 0 76 24 0
Cherokee "21-1 Blanche" 0 52 44 0
Cherokee "22-1 Leesburg" 0 372 146 0
Cherokee "23-1 Tuckers Chapel" 0 55 25 0
Cherokee "Absentee Votes" 0 120 36 0
Chilton "0010 Maplesville New Fire Station" 0 311 219 1
Chilton "0020 South Chilton Fire Station" 0 194 308 1
Chilton "0030 Fairview Fire Station" 0 171 261 0
Chilton "0040 Enterprise Fire Station" 0 250 382 0
Chilton "0050 Verbena Fire Station" 0 328 367 0
Chilton "0060 Providence E Chilton" 0 199 268 0
Chilton "0070 Cane Creek Gap Mt. Fire" 0 235 226 1
Chilton "0080 Union Grove Fire Station" 0 368 370 2
Chilton "0090 Jemison Fire Department" 0 584 558 2
Chilton "0100 Providence N Chilton" 0 272 336 2
Chilton "0110 Mars Hill W Chilton" 0 239 280 1
Chilton "0120 Thorsby Town Hall" 0 338 486 1
Chilton "0130 Collins Chapel Fire Station" 0 118 151 1
Chilton "0140 Isabella Fire Station" 0 200 220 0
Chilton "0150 Veterans Club Clanton" 0 629 352 1
Chilton "0160 Library Clanton" 0 358 601 0
Chilton "0170 Clanton Facility Bldg." 0 560 780 2
Chilton "0180 Courthouse Clanton" 0 349 403 3
Chilton "9001 Absentee Votes" 0 272 199 1
Choctaw "001 Pennington" 0 229 74 0
Choctaw "002 Pelham" 0 103 23 0
Choctaw "003 Crossroads" 0 79 26 0
Choctaw "004 Intersection" 0 58 2 0
Choctaw "005 Halsell" 0 45 8 0
Choctaw "006 Yantley" 0 226 10 0
Choctaw "007 Cromwell" 0 57 27 0
Choctaw "008 Lisman" 0 239 25 0
Choctaw "009 Lavaca" 0 127 66 0
Choctaw "010 Bogueloosa" 0 61 172 0
Choctaw "011 Toxey" 0 96 111 0
Choctaw "012 Gilbertown" 0 126 149 0
Choctaw "013 Melvin" 0 62 13 0
Choctaw "014 Hurricane" 0 7 13 0
Choctaw "015 Barrytown" 0 25 120 0
Choctaw "016 Womack Hill" 0 40 39 0
Choctaw "017 Chappell Hill" 0 54 105 0
Choctaw "018 Culloburg" 0 54 49 0
Choctaw "019 Bladon Springs" 0 74 4 0
Choctaw "020 Silas" 0 129 105 0
Choctaw 021Souwilpa 0 15 20 0
Choctaw "022 Isney" 0 12 46 0
Choctaw "023 Toomey" 0 57 51 0
Choctaw "024 Lusk" 0 56 90 0
Choctaw "025 Pleasant Valley" 0 22 75 0
Choctaw "026 Ararat" 0 68 53 0
Choctaw "027 Branch" 0 177 23 0
Choctaw "028 Pushmataha" 0 107 6 0
Choctaw "029 Butler" 0 592 496 0
Choctaw "030 Mt. Sterling" 0 121 39 0
Choctaw "031 Riderwood" 0 92 10 0
Choctaw "032 Rock Springs" 0 24 24 0
Choctaw "Absentee Votes" 0 132 32 0
Clarke "0010 Good Hope Church - Gainestown" 0 203 36 0
Clarke "0020 Choctaw Bluff Fire Station" 0 146 36 0
Clarke "0030 Carlton - Sherman Grocery" 0 86 24 0
Clarke "0050 Jackson City Hall" 0 564 261 0
Clarke "0060 Walker Springs - Overstreets" 0 139 70 0
Clarke "0070 Voting House 84 & 35" 0 111 31 0
Clarke "0080 Gosport Fire Station" 0 125 17 0
Clarke "0090 Skippers Fire Station - Jackson" 0 200 252 0
Clarke "0110 Jackson National Guard Armory" 0 201 287 3
