COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Biden Trump Jorgensen
Roosevelt "16 EAST POPLAR RURAL" 0 208 62 5
Roosevelt "17 NORTH POPLAR MINERAL BENCH" 0 31 79 6
Roosevelt "18 POPLAR" 0 489 195 14
Roosevelt "22 EAST & NE WOLF POINT RURAL" 0 111 113 11
Roosevelt "24 WOLF POINT SOUTHSIDE" 0 245 136 17
Roosevelt "26 WOLF POINT NORTHSIDE" 0 219 339 19
Roosevelt "27 WEST WOLF POINT RURAL" 0 226 121 10
Roosevelt "28 NORTH WOLF POINT RURAL (VICTORY)" 0 11 122 2
Rosebud "PRECINCT 10" 0 18 147 0
Rosebud "PRECINCT 11" 0 6 97 2
Rosebud "PRECINCT 15" 0 427 64 6
Rosebud "PRECINCT 17" 0 179 124 8
Rosebud "PRECINCT 20" 0 37 174 4
Rosebud "PRECINCT 21" 0 19 119 2
Rosebud "PRECINCT 26" 0 5 70 1
Rosebud "PRECINCT 3" 0 150 371 13
Rosebud "PRECINCT 30" 0 91 286 17
Rosebud "PRECINCT 32" 0 168 625 20
Rosebud "PRECINCT 6" 0 80 361 11
Rosebud "PRECINCT 7" 0 19 48 4
Sanders 1-HERON-HD13 0 82 328 5
Sanders 2-NOXON-HD13 0 121 385 10
Sanders "3-TROUT CREEK-HD13" 0 233 876 7
Sanders "4-T FALLS-HD13" 0 283 891 24
Sanders "5-T FALLS-HD13" 0 292 976 26
Sanders 6-PLAINS-HD14 0 197 965 25
Sanders 7-PLAINS-HD14 0 192 634 11
Sanders "8-HOT SPRINGS-HD14" 0 304 507 31
Sanders 9-Dixon-HD14 0 116 98 3
Sheridan "1 WESTBY" 0 40 155 2
Sheridan "2 MEDICINE LAKE" 0 122 290 17
Sheridan "3 PLENTYWOOD WEST" 0 138 275 6
Sheridan "4 PLENTYWOOD EAST" 0 151 362 14
Sheridan "5 PLENTYWOOD RURAL WEST" 0 41 170 4
Sheridan "6 PLENTYWOOD RURAL EAST" 0 82 151 10
"Silver Bow" PREC_1 0 108 103 8
"Silver Bow" PREC_10N 0 92 62 8
"Silver Bow" PREC_10S 0 119 71 7
"Silver Bow" PREC_11 0 112 82 5
"Silver Bow" PREC_12E 0 132 127 4
"Silver Bow" PREC_12W 0 107 64 8
"Silver Bow" PREC_14 0 733 391 45
"Silver Bow" PREC_16 0 777 431 26
"Silver Bow" PREC_17 0 575 345 47
"Silver Bow" PREC_18 0 381 255 24
"Silver Bow" PREC_19N 0 227 140 9
"Silver Bow" PREC_19S 0 139 121 7
"Silver Bow" PREC_19W 0 61 58 4
"Silver Bow" PREC_21 0 370 198 21
"Silver Bow" PREC_22 0 744 616 37
"Silver Bow" PREC_26E 0 68 103 4
"Silver Bow" PREC_26W 0 80 124 2
"Silver Bow" PREC_27N 0 31 91 1
"Silver Bow" PREC_27S 0 166 243 7
"Silver Bow" PREC_28 0 54 84 4
"Silver Bow" PREC_29 0 23 53 1
"Silver Bow" PREC_2E 0 315 250 16
"Silver Bow" PREC_2W 0 334 225 20
"Silver Bow" PREC_3 0 258 187 19
"Silver Bow" PREC_4 0 663 459 31
"Silver Bow" PREC_6 0 1082 652 47
"Silver Bow" PREC_8E 0 1125 757 36
"Silver Bow" PREC_8W 0 701 635 45
"Silver Bow" PREC_9E 0 316 341 16
"Silver Bow" PREC_9N 0 454 448 9
"Silver Bow" PREC_9W 0 45 29 3
Stillwater "ABSAROKEE PRECINCT 13" 0 243 782 19
Stillwater "COLUMBUS PRECINCT 1" 0 455 2014 47
