COUNTY AREA TOTAL DEM REP Ringelstein Others
COUNTY AREA TOTAL King Brakey Ringelstein Others
SOM "Dennistown Plt" 19 4 15 0 0
SOM Detroit 323 128 151 38 0
SOM Embden 444 202 204 28 0
SOM Fairfield 2633 1243 1126 213 0
SOM Harmony 389 154 200 21 0
SOM Hartland 682 259 371 47 0
SOM "Highland Plt" 102 35 56 9 0
SOM Jackman 417 142 233 29 2
SOM "Lexington/Spring Lake Twps" 24 9 13 2 0
SOM Madison 1875 892 832 129 0
SOM Mercer 369 181 162 23 0
SOM "Moose River" 87 23 58 2 0
SOM Moscow 203 84 100 12 1
SOM "New Portland" 371 179 156 32 2
SOM Norridgewock 1448 702 635 94 0
SOM Palmyra 873 327 487 49 0
SOM Pittsfield 1593 688 776 106 0
SOM "Pleasant Ridge Plt" 42 21 20 0 0
SOM Ripley 220 108 98 13 0
SOM "Rockwood Strip Twp" 175 66 98 8 0
SOM "Saint Albans" 907 326 524 45 0
SOM Skowhegan 3281 1724 1259 243 0
SOM Smithfield 520 263 214 32 1
SOM Solon 489 213 225 43 0
SOM Starks 289 144 125 19 0
SOM "The Forks Plt" 38 23 13 2 0
SOM "West Forks Plt" 44 17 22 3 0
WAL Belfast 3623 2251 865 429 1
WAL Belmont 474 228 192 46 0
WAL Brooks 499 215 228 50 0
WAL Burnham 517 227 252 34 0
WAL Frankfort 542 236 254 38 0
WAL Freedom 380 179 156 38 0
WAL Islesboro 386 270 71 37 0
WAL Jackson 271 120 119 28 0
WAL Knox 380 149 193 34 0
WAL Liberty 469 232 197 30 0
WAL Lincolnville 1398 842 386 158 0
WAL Monroe 522 258 182 67 1
WAL Montville 537 301 170 61 0
WAL Morrill 506 215 226 55 0
WAL Northport 929 529 305 84 0
WAL Palermo 770 372 342 46 0
WAL Prospect 336 163 138 18 0
WAL Searsmont 753 397 261 81 0
WAL Searsport 1266 705 441 109 0
WAL "Stockton Springs" 909 457 359 83 1
WAL Swanville 700 300 317 68 0
WAL Thorndike 383 188 135 52 0
WAL Troy 460 191 210 46 0
WAL Unity 787 352 284 141 0
WAL Waldo 414 221 158 29 0
WAL Winterport 1873 905 824 114 0
WAS Addison 552 241 273 30 0
WAS Alexander 242 91 131 15 0
WAS "Berry/Cathance/Marion Twps (East Machias)" 45 15 26 4 0
WAS Baileyville 536 252 225 33 0
WAS "Baring Plt" 86 43 33 10 0
WAS Beals 218 92 103 17 0
WAS Beddington 33 11 21 0 0
WAS "Centerville Twp (Columbia Falls)" 13 6 7 0 0
WAS Calais 1173 617 450 90 1
WAS Charlotte 171 73 87 7 0
WAS Cherryfield 519 204 253 44 0
WAS Columbia 175 57 100 14 0
WAS "Columbia Falls" 244 95 130 14 0
WAS Cooper 91 34 48 6 0
WAS Crawford 57 24 29 3 0
WAS Cutler 248 91 138 12 0
WAS Danforth 298 115 153 15 0
WAS Deblois 26 9 15 2 0
WAS "Dennysville (and Edmunds Twp)" 255 130 101 22 0
WAS "East Machias" 582 265 265 45 1
WAS Eastport 692 415 191 72 0
WAS "Grand Lake Stream Plt" 83 35 40 6 0
WAS Harrington 384 127 216 39 0
WAS "Indian Township" 152 83 25 35 0
WAS Jonesboro 257 112 124 20 0
WAS Jonesport 543 236 267 29 0
WAS Lubec 710 367 250 86 0
WAS Machias 744 373 276 84 0
WAS Machiasport 418 222 160 24 2
WAS Marshfield 244 111 114 16 0
WAS Meddybemps 90 34 50 5 0
WAS Milbridge 520 268 198 41 0
WAS Northfield 92 53 33 5 0
WAS Pembroke 381 189 159 25 0
WAS Perry 404 198 160 37 0
WAS "Pleasant Point Voting District" 160 98 15 41 0
WAS Princeton 353 140 189 17 0
WAS Robbinston 277 152 102 16 0
WAS "Roque Bluffs" 154 97 47 9 0
WAS Steuben 495 218 226 38 0
WAS "T10 SD Twp (Cherryfield, Franklin & Milbridge)" 10 2 8 0 0
WAS "T26 ED BPP Twp (Wesley)" 0 0 0 0 0
WAS "T7 SD Twp (Steuben)" 5 1 2 2 0
WAS Talmadge 32 15 16 1 0
WAS Topsfield 100 36 61 2 0
WAS Vanceboro 74 38 31 4 0
WAS Waite 38 11 23 3 0
WAS Wesley 64 30 27 6 0
WAS Whiting 319 144 135 39 0
WAS Whitneyville 91 40 37 12 0
YOR Acton 1237 588 525 96 0
YOR Alfred 1566 829 579 137 0
YOR Arundel 2071 1006 799 233 0
YOR Berwick 3105 1324 1274 434 0
YOR Biddeford 8260 4813 2187 1117 0
YOR Buxton 4136 2067 1705 325 0
YOR Cornish 730 377 281 57 0
YOR Dayton 1033 473 468 80 0
YOR Eliot 3738 1895 1168 628 0
YOR Hollis 2278 1141 946 153 0
YOR Kennebunk 6650 3913 1924 727 0
YOR Kennebunkport 2277 1338 693 218 0
YOR Kittery 4982 2774 1201 963 0
YOR Lebanon 2361 949 1153 230 0
YOR Limerick 1358 668 537 130 0
YOR Limington 1665 719 773 145 0
YOR Lyman 2172 1080 840 211 0
YOR Newfield 737 317 334 63 0
YOR "North Berwick" 2330 1056 963 267 0
YOR Ogunquit 859 483 213 147 0
YOR "Old Orchard Beach" 4758 2789 1348 535 0
YOR Parsonsfield 806 363 330 81 0
YOR Saco 9278 5475 2639 965 0
YOR Sanford 7579 3792 2655 861 0
YOR Shapleigh 1272 571 585 104 0
YOR "South Berwick" 3391 1659 1024 609 0
YOR Waterboro 3138 1463 1385 256 0
YOR Wells 5959 3067 2069 721 0
YOR York 7859 4398 2251 1058 0
STATE UOCAVA 2422 1475 249 698 0
