COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Hegar Cornyn McKennon Collins Writein
Harris 404 0 777 793 26 15 1
Harris 405 0 871 2285 50 11 0
Harris 406 0 269 9 6 2 0
Harris 407 0 1342 1583 56 16 0
Harris 408 0 503 327 18 14 0
Harris 409 0 539 294 18 13 0
Harris 410 0 400 128 11 7 0
Harris 411 0 736 412 23 12 0
Harris 412 0 200 18 4 4 0
Harris 413 0 1302 832 33 24 0
Harris 414 0 668 1599 38 17 0
Harris 415 0 620 1163 29 10 0
Harris 416 0 1544 1217 83 33 0
Harris 417 0 921 713 37 16 0
Harris 418 0 1384 840 40 31 0
Harris 419 0 779 978 35 16 0
Harris 420 0 709 3041 62 14 0
Harris 421 0 936 717 26 14 0
Harris 422 0 1844 131 32 35 0
Harris 423 0 461 195 14 12 0
Harris 424 0 465 487 15 10 0
Harris 425 0 273 112 7 5 0
Harris 426 0 395 404 8 8 0
Harris 427 0 388 287 10 5 0
Harris 428 0 1914 1358 35 21 0
Harris 429 0 1115 484 30 17 0
Harris 430 0 715 242 11 22 0
Harris 431 0 1548 546 45 31 0
Harris 432 0 577 243 20 6 0
Harris 433 0 225 72 9 5 0
Harris 434 0 631 645 20 6 0
Harris 435 0 1213 1527 49 17 0
Harris 436 0 1621 1517 47 20 0
Harris 437 0 755 1084 23 7 0
Harris 438 0 1086 1920 42 7 0
Harris 439 0 1262 1937 43 15 0
Harris 440 0 716 1802 27 2 0
Harris 441 0 419 903 8 3 0
Harris 442 0 880 2585 79 9 0
Harris 443 0 183 377 4 0 0
Harris 444 0 1290 1368 58 21 0
Harris 445 0 678 853 35 12 0
Harris 446 0 83 53 4 3 0
Harris 447 0 2071 2626 89 21 0
Harris 448 0 1284 1223 40 14 0
Harris 449 0 97 7 2 2 0
Harris 450 0 1127 447 39 15 0
Harris 451 0 568 1633 23 5 0
Harris 452 0 1396 2176 82 19 0
Harris 453 0 935 358 24 9 0
Harris 454 0 1196 66 21 4 0
Harris 455 0 687 75 16 17 0
Harris 456 0 1164 1249 56 26 0
Harris 457 0 0 0 0 0 0
Harris 458 0 1117 128 26 11 0
Harris 459 0 893 2155 49 15 0
Harris 460 0 1884 741 51 30 0
Harris 461 0 1455 1957 37 16 1
Harris 462 0 1614 861 52 15 0
Harris 463 0 1886 1020 69 30 1
Harris 464 0 763 975 44 17 1
Harris 465 0 1555 918 63 27 0
Harris 466 0 1589 1444 41 30 0
Harris 467 0 567 239 14 7 0
Harris 468 0 1739 861 52 30 0
Harris 469 0 660 1832 44 12 0
Harris 470 0 252 657 20 10 0
Harris 471 0 426 1340 31 13 0
Harris 472 0 595 311 10 5 0
Harris 473 0 532 850 29 6 0
Harris 474 0 898 1321 63 15 0
Harris 475 0 734 642 27 20 0
Harris 476 0 827 768 33 16 0
Harris 477 0 1205 2023 57 23 0
Harris 478 0 1450 1741 64 22 0
Harris 479 0 884 1988 46 13 0
Harris 480 0 871 1405 39 17 0
Harris 481 0 851 1876 61 20 0
Harris 482 0 1327 2049 72 23 0
Harris 483 0 1908 1501 75 33 0
Harris 484 0 1263 1663 65 21 0
Harris 485 0 1092 2110 54 23 0
Harris 486 0 1004 2468 69 6 0
Harris 487 0 1310 914 42 17 0
Harris 488 0 948 498 33 16 0
Harris 489 0 950 353 26 17 0
Harris 490 0 1017 451 23 10 0
Harris 491 0 1043 781 26 16 0
Harris 492 0 937 758 23 9 0
Harris 493 0 1382 952 32 19 0
