COUNTY AREA TOTAL DEM REP LIB UPC
COUNTY AREA TOTAL Polis Stapleton Helker Hammons
Arapahoe 6273703257 0 480 400 9 9
Arapahoe 6273703259 0 672 378 36 9
Arapahoe 6273703260 0 542 404 21 13
Arapahoe 6273703261 0 559 482 12 2
Arapahoe 6273703262 0 553 460 17 7
Arapahoe 6273703263 0 428 379 7 4
Arapahoe 6273703264 0 551 382 15 2
Arapahoe 6273703274 0 458 414 11 6
Arapahoe 6273703275 0 251 192 21 3
Arapahoe 6273703276 0 113 97 10 3
Arapahoe 6273703277 0 300 287 15 5
Arapahoe 6273703278 0 191 186 11 3
Arapahoe 6273703279 0 384 332 17 6
Arapahoe 6273703280 0 470 383 13 7
Arapahoe 6273703281 0 456 398 18 3
Arapahoe 6273703282 0 570 446 13 6
Arapahoe 6273703283 0 393 265 6 1
Arapahoe 6273703284 0 220 215 8 4
Arapahoe 6273703285 0 268 312 6 3
Arapahoe 6273703286 0 672 417 23 8
Arapahoe 6273703320 0 584 437 40 16
Arapahoe 6273703321 0 494 462 14 11
Arapahoe 6273703322 0 486 411 14 3
Arapahoe 6273703324 0 160 319 8 3
Arapahoe 6273703325 0 450 888 20 3
Arapahoe 6273703328 0 90 147 3 1
Arapahoe 6273703331 0 236 270 14 4
Arapahoe 6273703332 0 405 349 11 5
Arapahoe 6273703333 0 308 234 21 7
Arapahoe 6273703334 0 666 544 37 14
Arapahoe 6273703338 0 383 270 12 10
Arapahoe 6273703339 0 479 357 18 9
Arapahoe 6273703367 0 485 500 24 3
Arapahoe 6273703458 0 0 0 0 0
Arapahoe 6273803164 0 329 259 19 4
Arapahoe 6273803177 0 346 383 23 3
Arapahoe 6273803178 0 312 249 29 4
Arapahoe 6273803179 0 264 229 18 7
Arapahoe 6273803180 0 343 295 11 9
Arapahoe 6273803181 0 289 262 10 0
Arapahoe 6273803182 0 413 315 27 10
Arapahoe 6273803183 0 559 456 25 7
Arapahoe 6273803184 0 257 311 16 2
Arapahoe 6273803185 0 369 277 30 5
Arapahoe 6273803186 0 410 354 14 4
Arapahoe 6273803187 0 389 339 21 5
Arapahoe 6273803188 0 273 235 24 4
Arapahoe 6273803189 0 456 390 12 7
Arapahoe 6273803190 0 520 379 23 1
Arapahoe 6273803191 0 464 494 16 3
Arapahoe 6273803192 0 375 472 14 2
Arapahoe 6273803193 0 375 306 18 7
Arapahoe 6273803194 0 497 395 26 12
Arapahoe 6273803195 0 465 381 16 2
Arapahoe 6273803196 0 304 221 9 1
Arapahoe 6273803197 0 346 231 12 2
Arapahoe 6273803205 0 312 188 20 4
Arapahoe 6273803206 0 361 287 10 8
Arapahoe 6273803207 0 483 393 21 10
Arapahoe 6273803208 0 447 400 24 7
Arapahoe 6273803209 0 440 394 8 12
Arapahoe 6273803210 0 638 524 35 10
Arapahoe 6273803211 0 333 305 22 16
Arapahoe 6273803212 0 507 443 15 5
Arapahoe 6273803213 0 398 376 26 3
Arapahoe 6273803214 0 327 347 19 2
Arapahoe 6273803215 0 253 320 5 3
Arapahoe 6273803216 0 326 413 9 3
Arapahoe 6273803217 0 385 318 12 3
Arapahoe 6273803219 0 448 528 11 4
Arapahoe 6274003457 0 0 0 0 0
Arapahoe 6283603318 0 358 258 12 11
Arapahoe 6283603340 0 791 558 33 11
Arapahoe 6283603341 0 652 505 33 7
Arapahoe 6283603342 0 640 432 23 12
Arapahoe 6283603343 0 413 380 14 10
Arapahoe 6283603344 0 609 506 24 9
Arapahoe 6283603349 0 0 0 0 0
Arapahoe 6283603351 0 615 558 40 17
Arapahoe 6283603369 0 352 294 16 9
Arapahoe 6283603370 0 573 413 16 13
Arapahoe 6283603371 0 376 239 13 7
Arapahoe 6283603372 0 579 505 28 11
Arapahoe 6283603561 0 0 0 0 0
Arapahoe 6284003265 0 370 190 23 6
Arapahoe 6284003266 0 390 282 25 6
Arapahoe 6284003267 0 436 278 21 17
Arapahoe 6284003268 0 356 251 7 6
Arapahoe 6284003269 0 397 224 24 8
Arapahoe 6284003270 0 324 215 26 7
Arapahoe 6284003271 0 310 189 11 10
Arapahoe 6284003272 0 342 253 19 4
Arapahoe 6284003273 0 331 270 15 3
Arapahoe 6284003302 0 483 363 25 13
Arapahoe 6284003303 0 384 252 16 11
Arapahoe 6284003304 0 328 214 14 6
Arapahoe 6284003305 0 535 318 16 11
Arapahoe 6284003306 0 298 274 7 7
Arapahoe 6284003307 0 253 92 11 6
Arapahoe 6284003308 0 472 284 27 11
Arapahoe 6284003309 0 471 338 18 11
Arapahoe 6284003310 0 774 353 21 7
Arapahoe 6284003311 0 693 445 18 14
Arapahoe 6284003312 0 733 324 22 14
Arapahoe 6284003313 0 387 290 29 4
Arapahoe 6284003314 0 295 225 18 5
Arapahoe 6284003315 0 533 387 38 13
Arapahoe 6284003316 0 293 170 16 8
Arapahoe 6284003317 0 381 249 37 14
Arapahoe 6284003319 0 658 383 42 18
Arapahoe 6284003446 0 312 283 11 6
Arapahoe 6284003447 0 439 148 14 8
Arapahoe 6284003448 0 732 383 34 12
Arapahoe 6284003449 0 322 193 7 12
Arapahoe 6284003450 0 497 234 10 14
Arapahoe 6284003451 0 452 321 28 12
Arapahoe 6284003452 0 346 243 14 7
Arapahoe 6284003454 0 435 294 14 10
Arapahoe 6284003456 0 431 351 26 8
Arapahoe 6284003459 0 311 213 21 11
Arapahoe 6284003460 0 444 228 23 13
Arapahoe 6284003461 0 502 278 24 11
Arapahoe 6284003462 0 485 316 32 10
