DIST COUNTY AREA TOTAL DEM REP IND OTHER
DIST COUNTY AREA TOTAL Dem Rep Ind Other
6 Milwaukee "City Of Milwaukee Ward 195" 0 377 33 0 0
6 Milwaukee "City Of Milwaukee Ward 196" 0 618 79 1 2
6 Milwaukee "City Of Milwaukee Ward 197" 0 259 42 0 0
6 Milwaukee "City Of Milwaukee Ward 198" 0 515 60 0 1
6 Milwaukee "City Of Milwaukee Ward 199" 0 438 23 0 1
6 Milwaukee "City Of Milwaukee Ward 200" 0 323 41 4 0
6 Milwaukee "City Of Milwaukee Ward 201" 0 295 35 1 0
6 Milwaukee "City Of Milwaukee Ward 202" 0 624 126 1 2
6 Milwaukee "City Of Milwaukee Ward 203" 0 796 190 1 3
6 Milwaukee "City Of Milwaukee Ward 204" 0 652 195 0 0
6 Milwaukee "City Of Milwaukee Ward 205" 0 552 214 0 2
6 Milwaukee "City Of Milwaukee Ward 214" 0 333 95 0 0
6 Milwaukee "City Of Milwaukee Ward 44" 0 821 58 3 2
6 Milwaukee "City Of Milwaukee Ward 64" 0 1122 38 3 2
6 Milwaukee "City Of Milwaukee Ward 65" 0 922 36 1 1
6 Milwaukee "City Of Milwaukee Ward 66" 0 540 14 0 1
6 Milwaukee "City Of Milwaukee Ward 67" 0 503 15 1 1
6 Milwaukee "City Of Milwaukee Ward 68" 0 857 75 0 0
6 Milwaukee "City Of Milwaukee Ward 69" 0 743 32 7 3
6 Milwaukee "City Of Milwaukee Ward 70" 0 1058 62 4 2
6 Milwaukee "City Of Milwaukee Ward 71" 0 623 39 2 1
6 Milwaukee "City Of Milwaukee Ward 72" 0 844 59 2 1
6 Milwaukee "City Of Milwaukee Ward 73" 0 857 86 2 2
6 Milwaukee "City Of Milwaukee Ward 74" 0 593 53 1 1
6 Milwaukee "City Of Milwaukee Ward 75" 0 556 114 5 0
6 Milwaukee "City Of Milwaukee Ward 76" 0 588 58 3 1
6 Milwaukee "City Of Milwaukee Ward 77" 0 511 92 0 2
6 Milwaukee "City Of Milwaukee Ward 83" 0 625 351 0 0
6 Milwaukee "City Of Milwaukee Ward 84" 0 448 233 0 2
6 Milwaukee "City Of Milwaukee Ward 88" 0 588 196 0 3
6 Milwaukee "City Of Milwaukee Ward 89" 0 723 253 3 0
6 Milwaukee "City Of Milwaukee Ward 90" 0 726 211 4 2
6 Milwaukee "City Of Milwaukee Ward 91" 0 1131 113 2 1
6 Milwaukee "City Of Milwaukee Ward 92" 0 1035 277 2 0
6 Milwaukee "City Of Milwaukee Ward 94" 0 406 22 2 0
6 Milwaukee "City Of Milwaukee Ward 95" 0 490 35 0 4
6 Milwaukee "City Of Milwaukee Ward 96" 0 829 121 3 2
6 Milwaukee "City Of Milwaukee Ward 97" 0 708 201 2 1
6 Milwaukee "City Of Milwaukee Ward 98" 0 620 23 6 2
6 Milwaukee "City Of Milwaukee Ward 99" 0 941 83 3 1
8 Milwaukee "City Of Glendale Ward 8" 0 333 191 0 0
8 Milwaukee "City Of Glendale Wards 3,9" 0 1002 510 0 1
8 Milwaukee "City Of Glendale Wards 4,10" 0 1112 512 0 0
8 Milwaukee "City Of Glendale Wards 5,11" 0 903 390 0 2
8 Milwaukee "City Of Milwaukee Ward 33" 0 1287 698 0 0
8 Milwaukee "City Of Milwaukee Ward 34" 0 823 285 0 1
8 Milwaukee "Village Of Bayside Ward 5" 0 462 235 0 0
8 Milwaukee "Village Of Bayside Wards 1,3" 0 677 356 0 0
8 Milwaukee "Village Of Bayside Wards 1S,3S" 0 42 26 0 0
8 Milwaukee "Village Of Bayside Wards 2,4" 0 855 396 0 0
8 Milwaukee "Village Of Brown Deer Wards 1-2" 0 1796 637 0 3
8 Milwaukee "Village Of Brown Deer Wards 3-4" 0 1594 835 0 0
8 Milwaukee "Village Of Brown Deer Wards 5-6" 0 1662 731 0 2
8 Milwaukee "Village Of Fox Point Wards 1-4" 0 1358 801 0 4
8 Milwaukee "Village Of Fox Point Wards 5-9" 0 1836 891 0 2
8 Milwaukee "Village Of River Hills Wards 1-3" 0 610 630 0 0
8 Milwaukee "Village Of Whitefish Bay Ward 12" 0 570 397 0 0
8 Milwaukee "Village Of Whitefish Bay Ward 7" 0 555 257 0 1
8 Milwaukee "Village Of Whitefish Bay Wards 1-2" 0 881 707 0 1
8 Milwaukee "Village Of Whitefish Bay Wards 3-4" 0 920 555 0 0
8 Milwaukee "Village Of Whitefish Bay Wards 5-6" 0 996 645 0 1
8 Milwaukee "Village Of Whitefish Bay Wards 8,10" 0 1212 602 0 1
8 Milwaukee "Village Of Whitefish Bay Wards 9,11" 0 1113 474 0 1
8 Ozaukee "City Of Mequon Ward 1" 0 683 872 0 2
8 Ozaukee "City Of Mequon Ward 15" 0 449 445 0 0
8 Ozaukee "City Of Mequon Ward 18" 0 256 347 0 0
8 Ozaukee "City Of Mequon Ward 2" 0 189 399 0 1
8 Ozaukee "City Of Mequon Wards 11-12" 0 696 913 0 0
8 Ozaukee "City Of Mequon Wards 13-14" 0 543 725 0 0
8 Ozaukee "City Of Mequon Wards 16-17" 0 746 845 0 0
8 Ozaukee "City Of Mequon Wards 19-21" 0 961 1156 0 1
8 Ozaukee "City Of Mequon Wards 3-4" 0 876 1227 0 3
8 Ozaukee "City Of Mequon Wards 5,7B" 0 359 588 0 1
8 Ozaukee "City Of Mequon Wards 6-7A" 0 526 922 0 1
8 Ozaukee "City Of Mequon Wards 8-10" 0 1148 1325 0 3
8 Ozaukee "Town Of Grafton Wards 1-2,5" 0 438 1032 0 0
8 Ozaukee "Town Of Grafton Wards 3-4" 0 568 1019 0 1
8 Ozaukee "Village Of Bayside Ward 6" 0 50 40 0 0
8 Ozaukee "Village Of Grafton Wards 1-2" 0 417 698 0 1
8 Ozaukee "Village Of Grafton Wards 11-12" 0 363 679 0 0
8 Ozaukee "Village Of Grafton Wards 13-14" 0 494 619 0 0
8 Ozaukee "Village Of Grafton Wards 3-4" 0 450 648 0 0
8 Ozaukee "Village Of Grafton Wards 5-6" 0 619 752 0 0
8 Ozaukee "Village Of Grafton Wards 7-8" 0 382 646 0 1
8 Ozaukee "Village Of Grafton Wards 9-10" 0 437 595 0 2
8 Ozaukee "Village Of Thiensville Wards 1-2" 0 537 728 0 1
8 Ozaukee "Village Of Thiensville Wards 3-4" 0 438 513 0 1
8 Washington "City Of Milwaukee Ward 318" 0 0 0 0 0
8 Washington "Town Of Erin Wards 1-4" 0 651 2084 0 0
8 Washington "Town Of Germantown Ward 1" 0 54 123 0 0
8 Washington "Village Of Germantown Wards 1,8,10-11" 0 1135 2276 0 0
8 Washington "Village Of Germantown Wards 12-15" 0 1173 2335 0 0
8 Washington "Village Of Germantown Wards 2,5-7" 0 1285 2047 0 0
8 Washington "Village Of Germantown Wards 3-4,9,16-17" 0 1149 2086 0 0
8 Washington "Village Of Richfield Wards 1-2" 0 465 1517 0 0
8 Washington "Village Of Richfield Wards 3,10" 0 195 504 0 0
8 Washington "Village Of Richfield Wards 7-9" 0 716 1711 0 0
8 Waukesha "City Of Milwaukee Ward 319" 0 0 0 0 0
8 Waukesha "Town Of Lisbon Ward 2" 0 433 1010 0 1
8 Waukesha "Town Of Lisbon Wards 1,6" 0 673 1815 0 2
8 Waukesha "Town Of Lisbon Wards 4-5" 0 728 1766 0 0
8 Waukesha "Village Of Butler Wards 1-3" 0 410 592 0 1
8 Waukesha "Village Of Lannon Wards 1-2" 0 301 557 0 2
8 Waukesha "Village Of Menomonee Falls Ward 1" 0 548 911 0 0
8 Waukesha "Village Of Menomonee Falls Ward 10" 0 323 549 0 1
8 Waukesha "Village Of Menomonee Falls Ward 11" 0 376 470 0 1
8 Waukesha "Village Of Menomonee Falls Ward 12" 0 325 348 0 0
8 Waukesha "Village Of Menomonee Falls Ward 13" 0 485 788 0 3
8 Waukesha "Village Of Menomonee Falls Ward 14" 0 575 809 0 1
8 Waukesha "Village Of Menomonee Falls Ward 15" 0 493 838 0 1
8 Waukesha "Village Of Menomonee Falls Ward 16" 0 263 453 0 0
8 Waukesha "Village Of Menomonee Falls Ward 17" 0 596 830 0 2
8 Waukesha "Village Of Menomonee Falls Ward 18" 0 550 724 0 0
8 Waukesha "Village Of Menomonee Falls Ward 19" 0 525 823 0 0
8 Waukesha "Village Of Menomonee Falls Ward 2" 0 356 532 0 0
8 Waukesha "Village Of Menomonee Falls Ward 20" 0 558 768 0 1
8 Waukesha "Village Of Menomonee Falls Ward 21" 0 547 821 0 3
8 Waukesha "Village Of Menomonee Falls Ward 22" 0 384 591 0 0
8 Waukesha "Village Of Menomonee Falls Ward 23" 0 457 818 0 0
8 Waukesha "Village Of Menomonee Falls Ward 3" 0 477 729 0 0
8 Waukesha "Village Of Menomonee Falls Ward 4" 0 256 367 0 2
8 Waukesha "Village Of Menomonee Falls Ward 5" 0 369 549 0 2
8 Waukesha "Village Of Menomonee Falls Ward 6" 0 554 706 0 2
8 Waukesha "Village Of Menomonee Falls Ward 7" 0 180 324 0 1
8 Waukesha "Village Of Menomonee Falls Ward 8" 0 438 570 0 2
8 Waukesha "Village Of Menomonee Falls Ward 9" 0 415 525 0 0
8 Waukesha "Village Of Merton Wards 5-6" 0 16 68 0 0
8 Waukesha "Village Of Sussex Wards 9-12" 0 35 78 0 0
10 Burnett "Town Of Anderson Ward 1" 0 66 196 0 0
10 Burnett "Town Of Daniels Ward 1" 0 116 291 0 0
10 Burnett "Town Of Grantsburg Wards 1-3" 0 205 471 0 0
10 Burnett "Town Of Lincoln Ward 1" 0 44 152 0 0
10 Burnett "Town Of Meenon Wards 1-3" 0 204 445 0 0
10 Burnett "Town Of Siren Wards 1-2" 0 203 408 0 0
10 Burnett "Town Of Trade Lake Wards 1-2" 0 199 388 0 0
10 Burnett "Town Of West Marshland Wards 1-2" 0 49 171 0 0
10 Burnett "Town Of Wood River Wards 1-3" 0 140 442 0 0
10 Burnett "Village Of Grantsburg Wards 1-3" 0 242 457 0 0
10 Burnett "Village Of Siren Wards 1-2" 0 149 261 0 0
10 Burnett "Village Of Webster Wards 1-2" 0 123 192 0 0
10 Dunn "City Of Menomonie Ward 6" 0 333 267 0 0
10 Dunn "City Of Menomonie Wards 1-2" 0 863 924 0 0
10 Dunn "City Of Menomonie Wards 10-11" 0 974 701 0 0
10 Dunn "City Of Menomonie Wards 3-4" 0 491 410 0 0
10 Dunn "City Of Menomonie Wards 5,7" 0 334 313 0 0
10 Dunn "City Of Menomonie Wards 8-9" 0 729 555 0 0
10 Dunn "Town Of Lucas Ward 1" 0 144 331 0 0
10 Dunn "Town Of Menomonie Wards 1-3" 0 763 1123 0 0
10 Dunn "Town Of Stanton Ward 1" 0 152 354 0 0
10 Dunn "Town Of Tiffany Wards 1-2" 0 88 291 0 0
10 Dunn "Village Of Boyceville Ward 1" 0 161 337 0 0
