COUNTY AREA TOTAL DEM REP WRI
COUNTY AREA TOTAL Smith McMaster Writein
Charleston "St. Andrews 15" 0 310 67 0
Charleston "St. Andrews 16" 1 234 219 1
Charleston "St. Andrews 17" 3 317 402 3
Charleston "St. Andrews 18" 1 485 145 1
Charleston "ST. ANDREWS 19" 0 104 17 0
Charleston "St. Andrews 20" 2 463 286 2
Charleston "St. Andrews 21" 0 197 155 0
Charleston "St. Andrews 22" 1 201 194 1
Charleston "St. Andrews 23" 0 199 103 0
Charleston "St. Andrews 24" 0 265 133 0
Charleston "St. Andrews 25" 2 292 99 2
Charleston "St. Andrews 26" 0 280 230 0
Charleston "St. Andrews 27" 2 875 667 2
Charleston "St. Andrews 28" 0 450 341 0
Charleston "St. Andrews 29" 1 625 520 1
Charleston "St. Andrews 30" 0 329 223 0
Charleston "St. Andrews 31" 0 199 213 0
