COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Maricopa "0031 ARTESIAN" 0 73 161 0 0 0 6 0 0
Maricopa "0032 ASTER" 0 26 81 0 0 0 0 0 0
Maricopa "0033 ATHENS" 0 64 139 0 0 0 6 0 0
Maricopa "0034 AUGUSTA" 0 36 49 0 0 0 0 0 0
Maricopa "0035 AUGUSTA RANCH" 0 62 185 0 0 0 9 0 0
Maricopa "0036 AVIANO" 0 51 133 0 0 0 1 0 0
Maricopa "0037 AVONDALE" 0 109 52 0 0 0 3 0 0
Maricopa "0038 AZTEC SPRINGS" 0 69 185 0 0 0 2 0 0
Maricopa "0039 BALBOA" 0 136 107 0 0 0 11 0 0
Maricopa "0040 BALSZ" 0 238 115 0 0 0 7 0 0
Maricopa "0041 BARNES" 0 33 61 0 0 0 3 0 0
Maricopa "0042 BAYSHORE" 0 103 267 0 0 0 10 0 0
Maricopa "0043 BEARDSLEY" 0 47 169 0 0 0 5 0 0
Maricopa "0044 BERYL" 0 69 78 0 0 0 3 0 0
Maricopa "0045 BETHANY" 0 16 52 0 0 0 0 0 0
Maricopa "0046 BETHANY PARK" 0 56 36 0 0 0 1 0 0
Maricopa "0047 BETHUNE" 0 96 34 0 0 0 1 0 0
Maricopa "0048 BILTMORE" 0 20 71 0 0 0 0 0 0
Maricopa "0049 BISCUIT FLAT" 0 37 175 0 0 0 5 0 0
Maricopa "0050 BLACK CANYON" 0 279 226 0 0 0 21 0 0
Maricopa "0051 BLACK GOLD" 0 3 36 0 0 0 0 0 0
Maricopa "0052 BLACKHAWK" 0 98 235 0 0 0 10 0 0
Maricopa "0053 BLOOM" 0 26 124 0 0 0 7 0 0
Maricopa "0054 BLUE SKY" 0 2 17 0 0 0 0 0 0
Maricopa "0055 BLUEBIRD" 0 171 237 0 0 0 12 0 0
Maricopa "0056 BLUEFIELD" 0 68 186 0 0 0 5 0 0
Maricopa "0057 BONANZA" 0 12 37 0 0 0 0 0 0
Maricopa "0058 BONSALL PARK" 0 72 28 0 0 0 3 0 0
Maricopa "0059 BREWER" 0 72 167 0 0 0 5 0 0
Maricopa "0060 BRONCO" 0 34 178 0 0 0 2 0 0
Maricopa "0061 BROOKS FARM" 0 77 322 0 0 0 2 0 0
Maricopa "0062 BUCKEYE" 0 45 97 0 0 0 5 0 0
Maricopa "0063 BUCKLEY" 0 67 112 0 0 0 10 0 0
Maricopa "0064 BUFFALO RIDGE" 0 69 200 0 0 0 8 0 0
Maricopa "0065 BULLARD" 0 14 12 0 0 0 0 0 0
Maricopa "0066 BULLMOOSE" 0 18 99 0 0 0 2 0 0
Maricopa "0067 BUNKER PEAK" 0 4 32 0 0 0 0 0 0
Maricopa "0068 BURGESS" 0 83 90 0 0 0 6 0 0
Maricopa "0069 BUTLER" 0 232 284 0 0 0 16 0 0
Maricopa "0070 CACTUS GLEN" 0 24 160 0 0 0 2 0 0
Maricopa "0071 CAIRO" 0 65 75 0 0 0 9 0 0
Maricopa "0072 CALAVAR" 0 25 82 0 0 0 2 0 0
Maricopa "0073 CALAVEROS" 0 11 40 0 0 0 1 0 0
Maricopa "0074 CALYPSO" 0 27 95 0 0 0 1 0 0
Maricopa "0075 CAMBRIDGE" 0 40 15 0 0 0 0 0 0
Maricopa "0076 CAMELOT" 0 90 206 0 0 0 3 0 0
Maricopa "0077 CAMEO" 0 7 56 0 0 0 1 0 0
Maricopa "0078 CAMPBELL" 0 34 192 0 0 0 8 0 0
Maricopa "0079 CAMPBELL PARK" 0 48 59 0 0 0 3 0 0
Maricopa "0080 CANDLELIGHT" 0 55 218 0 0 0 8 0 0
Maricopa "0081 CANTERBURY" 0 25 84 0 0 0 1 0 0
Maricopa "0082 CANYON" 0 2 14 0 0 0 0 0 0
Maricopa "0083 CANYON RIM" 0 55 200 0 0 0 7 0 0
Maricopa "0084 CAPITOL SCHOOL" 0 85 57 0 0 0 5 0 0
Maricopa "0085 CARDINAL" 0 44 78 0 0 0 2 0 0
Maricopa "0086 CAREFREE" 0 21 124 0 0 0 2 0 0
