COUNTY AREA TOTAL DEM REP DEM2
COUNTY AREA TOTAL Dem Rep Dem2
Sonoma 1063A 37 26 9 0
Sonoma 1064 10 4 4 0
Sonoma 1064A 34 16 18 0
Sonoma 1065 15 10 5 0
Sonoma 1065A 52 41 10 0
Sonoma 1067 11 8 3 0
Sonoma 1067A 31 28 3 0
Sonoma 1069 0 0 0 0
Sonoma 1069A 7 7 0 0
Sonoma 1070 6 2 4 0
Sonoma 1070A 13 11 2 0
Sonoma 1071 55 28 26 0
Sonoma 1071A 184 142 38 0
Sonoma 1073 1 1 0 0
Sonoma 1073A 15 15 0 0
Sonoma 1074 35 21 10 0
Sonoma 1074A 157 124 33 0
Sonoma 1075 21 16 5 0
Sonoma 1075A 83 70 12 0
Sonoma 1076 15 7 6 0
Sonoma 1076A 80 63 14 0
Sonoma 1077 115 81 31 0
Sonoma 1077A 257 204 49 0
Sonoma 1078 10 6 4 0
Sonoma 1078A 18 11 6 0
Sonoma 1079 2 0 2 0
Sonoma 1079A 1 0 1 0
Sonoma 1080 32 20 11 0
Sonoma 1080A 88 69 17 0
Sonoma 1083 0 0 0 0
Sonoma 1083A 0 0 0 0
Sonoma 1084 20 16 4 0
Sonoma 1084A 79 67 11 0
Sonoma 1085 0 0 0 0
Sonoma 1085A 17 13 4 0
Sonoma 1086 8 6 2 0
Sonoma 1086A 26 21 5 0
Sonoma 1088 7 1 5 0
Sonoma 1088A 46 38 8 0
Sonoma 1089 0 0 0 0
Sonoma 1089A 0 0 0 0
Sonoma 1090 0 0 0 0
Sonoma 1090A 0 0 0 0
Sonoma 1091 0 0 0 0
Sonoma 1091A 0 0 0 0
Sonoma 1092 4 3 1 0
Sonoma 1092A 28 22 4 0
Sonoma 1093 17 9 7 0
Sonoma 1093A 59 42 16 0
Sonoma 1094 50 31 16 0
Sonoma 1094A 123 94 26 0
Sonoma 1095 61 25 30 0
Sonoma 1095A 148 110 38 0
Sonoma 1096 25 15 9 0
Sonoma 1096A 132 101 29 0
Sonoma 1097 167 125 36 0
Sonoma 1097A 387 322 61 0
Sonoma 1098 85 53 29 0
Sonoma 1098A 666 549 99 0
Sonoma 1099 113 78 31 0
Sonoma 1099A 330 281 45 0
Sonoma 1103 211 123 75 0
Sonoma 1103A 653 518 123 0
Sonoma 1104 262 170 83 0
Sonoma 1104A 611 492 99 0
Sonoma 1105 192 138 47 0
Sonoma 1105A 366 302 55 0
Sonoma 1106 112 63 41 0
Sonoma 1106A 344 264 70 0
Sonoma 1109 41 29 11 0
Sonoma 1109A 121 90 28 0
Sonoma 1110 343 205 124 0
Sonoma 1110A 1146 919 189 0
Sonoma 1111 234 119 99 0
Sonoma 1111A 827 623 190 0
Sonoma 1112 83 52 25 0
Sonoma 1112A 252 202 46 0
Sonoma 1114 19 7 12 0
Sonoma 1114A 63 40 21 0
Sonoma 1115 34 27 5 0
Sonoma 1115A 86 70 16 0
Sonoma 1116 628 407 183 0
Sonoma 1116A 1284 1016 236 0
Sonoma 1117 151 85 59 0
Sonoma 1117A 395 330 57 0
Sonoma 1118 280 178 85 0
Sonoma 1118A 672 544 105 0
Sonoma 1119 18 13 4 0
Sonoma 1119A 29 16 10 0
Sonoma 1120 5 4 1 0
Sonoma 1120A 5 3 2 0
Sonoma 1121 452 281 140 0
Sonoma 1121A 1369 1090 256 0
Sonoma 1122 112 63 45 0
Sonoma 1122A 653 507 135 0
Sonoma 1124 191 103 79 0
Sonoma 1124A 1288 1019 242 0
Sonoma 1125 75 53 21 0
Sonoma 1125A 91 77 13 0
Sonoma 1126 1 1 0 0
Sonoma 1126A 10 8 2 0
Sonoma 1127 99 75 21 0
Sonoma 1127A 310 239 67 0
Sonoma 1128 335 208 110 0
Sonoma 1128A 971 752 203 0
Sonoma 1129 6 3 3 0
Sonoma 1129A 6 6 0 0
Sonoma 1130 48 31 15 0
Sonoma 1130A 121 93 26 0
Sonoma 1132 267 197 51 0
Sonoma 1132A 659 548 94 0
Sonoma 1133 45 31 13 0
Sonoma 1133A 111 71 30 0
Sonoma 1134 30 15 13 0
Sonoma 1134A 72 55 15 0
Sonoma 1135 3 1 2 0
Sonoma 1135A 0 0 0 0
Sonoma 1136 256 170 77 0
Sonoma 1136A 784 633 137 0
Sonoma 1137 368 250 92 0
Sonoma 1137A 807 695 97 0
Sonoma 1144 0 0 0 0
Sonoma 1144A 4 2 2 0
Sonoma 1145 45 30 15 0
Sonoma 1145A 136 99 36 0
Sonoma 1146 26 15 11 0
Sonoma 1146A 114 72 41 0
Sonoma 1147 2 1 1 0
Sonoma 1147A 32 18 14 0
Sonoma 1148 46 15 26 0
Sonoma 1148A 109 88 20 0
Sonoma 1802 154 97 51 0
Sonoma 1802A 383 307 67 0
Sonoma 1806 243 148 79 0
Sonoma 1806A 485 399 71 0
Sonoma 1807 62 41 18 0
Sonoma 1807A 99 91 7 0
Sonoma 1808 62 40 21 0
Sonoma 1808A 156 130 23 0
Sonoma 1809 33 29 2 0
Sonoma 1809A 80 72 8 0
Sonoma 1810 115 82 27 0
Sonoma 1810A 309 261 43 0
Sonoma 1811 11 7 4 0
Sonoma 1811A 107 89 14 0
Sonoma 1812 0 0 0 0
Sonoma 1812A 0 0 0 0
Sonoma 1813 59 36 21 0
Sonoma 1813A 214 178 31 0
Sonoma 1814 0 0 0 0
Sonoma 1814A 0 0 0 0
Sonoma 1815 44 26 11 0
Sonoma 1815A 175 138 27 0
Sonoma 1816 93 59 33 0
Sonoma 1816A 381 295 80 0
Sonoma 1817 116 63 49 0
Sonoma 1817A 381 326 43 0
Sonoma 1818 133 78 47 0
Sonoma 1818A 280 211 60 0
Sonoma 2007 7 0 7 0
Sonoma 2007A 10 6 4 0
Sonoma 2012 0 0 0 0
Sonoma 2012A 0 0 0 0
Sonoma 2014 0 0 0 0
Sonoma 2014A 0 0 0 0
Sonoma 2015 50 24 21 0
Sonoma 2015A 142 110 30 0
Sonoma 2016 43 28 13 0
Sonoma 2016A 145 124 16 0
Sonoma 2020 76 43 26 0
Sonoma 2020A 138 104 32 0
Sonoma 2022 52 33 18 0
Sonoma 2022A 63 59 4 0
Sonoma 2023 51 32 18 0
