COUNTY AREA TOTAL DEM REP CST GRE LIB
COUNTY AREA TOTAL DEM REP CST GRE LIB
COLUMBUS P25B 0 59 550 9 0 0
COLUMBUS P26B 0 637 845 27 0 0
CUMBERLAND "ABSENTEE 1-20" 0 896 520 0 0 7
CUMBERLAND "ABSENTEE 21-45" 0 581 319 0 0 3
CUMBERLAND AH49 0 511 272 0 0 0
CUMBERLAND AL51 0 260 515 0 0 16
CUMBERLAND CC01 0 406 50 0 0 9
CUMBERLAND CC03 0 162 112 0 0 0
CUMBERLAND CC04 0 135 193 0 0 0
CUMBERLAND CC05 0 368 44 0 0 9
CUMBERLAND CC06 0 154 193 0 0 0
CUMBERLAND CC07 0 120 239 0 0 0
CUMBERLAND CC08 0 138 360 0 0 0
CUMBERLAND CC10 0 159 168 0 0 0
CUMBERLAND CC12 0 154 518 0 0 0
CUMBERLAND CC13 0 446 23 0 0 0
CUMBERLAND CC14 0 286 503 0 0 0
CUMBERLAND CC15 0 278 515 0 0 0
CUMBERLAND CC16 0 473 12 0 0 3
CUMBERLAND CC17 0 403 65 0 0 0
CUMBERLAND CC18 0 151 342 0 0 0
CUMBERLAND CC19 0 132 8 0 0 0
CUMBERLAND CC21 0 477 285 0 0 0
CUMBERLAND CC24 0 194 153 0 0 0
CUMBERLAND CC25 0 235 212 0 0 0
CUMBERLAND CC26 0 500 200 0 0 0
CUMBERLAND CC27 0 386 96 0 0 0
CUMBERLAND CC29 0 328 194 0 0 0
CUMBERLAND CC31 0 257 273 0 0 0
CUMBERLAND CC32 0 237 57 0 0 0
CUMBERLAND CC33 0 303 256 0 0 0
CUMBERLAND CC34 0 222 399 0 0 0
CUMBERLAND CL57-1 0 420 186 0 0 0
CUMBERLAND CL57-2 0 437 120 0 0 0
CUMBERLAND CU02 0 278 298 0 0 0
CUMBERLAND EO61-1 0 279 693 0 0 10
CUMBERLAND EO61-2 0 262 410 0 0 15
CUMBERLAND G10A 0 414 552 0 0 0
CUMBERLAND G10B 0 327 322 0 0 0
CUMBERLAND G10C 0 296 544 0 0 0
CUMBERLAND G11A-1 0 449 118 0 0 0
CUMBERLAND G11A-2 0 386 131 0 0 0
CUMBERLAND G11B 0 180 131 0 0 0
CUMBERLAND G1A 0 376 178 0 0 14
CUMBERLAND G1B 0 363 673 0 0 19
CUMBERLAND G2A 0 514 264 0 0 0
CUMBERLAND G2B 0 441 303 0 0 0
CUMBERLAND G2C-1 0 252 150 0 0 0
CUMBERLAND G2C-2 0 274 251 0 0 0
CUMBERLAND G2D 0 265 370 0 0 0
CUMBERLAND G2E-1 0 227 62 0 0 0
CUMBERLAND G2E-2 0 360 53 0 0 0
CUMBERLAND G3A-1 0 493 219 0 0 16
CUMBERLAND G3A-2 0 310 235 0 0 16
CUMBERLAND G3B 0 162 130 0 0 12
CUMBERLAND G3C 0 148 209 0 0 8
CUMBERLAND G4A 0 198 229 0 0 0
CUMBERLAND G4B 0 216 335 0 0 0
CUMBERLAND G4C 0 281 127 0 0 0
CUMBERLAND G5A-1 0 345 153 0 0 0
CUMBERLAND G5A-2 0 266 234 0 0 0
CUMBERLAND G5B-1 0 421 70 0 0 0
CUMBERLAND G5B-2 0 300 97 0 0 0
