DIST COUNTY AREA TOTAL DEM REP NPA NPA OverVotes REF NPA UnderVotes WriteinVotes
DIST COUNTY AREA TOTAL Gillum DeSantis Foley Gibson OverVotes Richardson Stanley UnderVotes WriteinVotes
NA Broward E003 0 706 632 1 1 3 2 0 6 4
NA Broward E004 0 1577 607 2 3 13 4 2 9 0
NA Broward E005 0 955 378 4 1 5 6 3 8 1
NA Broward E006 0 1819 1130 1 2 6 14 2 16 5
NA Broward E007 0 1560 774 3 3 3 4 2 7 2
NA Broward E008 0 1170 554 2 3 4 4 3 3 1
NA Broward E009 0 635 422 0 2 5 4 2 6 1
NA Broward E010 0 1590 859 1 5 10 8 3 13 4
NA Broward E011 0 1337 627 2 2 2 9 0 6 0
NA Broward E012 0 660 228 0 2 3 2 1 5 1
NA Broward E013 0 958 595 6 1 6 6 1 9 1
NA Broward E014 0 1286 1041 2 6 2 6 2 8 1
NA Broward E015 0 558 417 1 1 0 0 0 8 1
NA Broward E016 0 629 439 0 3 4 1 0 6 0
NA Broward E017 0 1274 706 3 2 2 6 1 11 2
NA Broward E018 0 380 367 2 0 0 0 4 3 0
NA Broward E019 0 805 322 0 1 1 2 0 5 2
NA Broward E020 0 1429 645 1 5 16 10 3 13 0
NA Broward E021 0 714 408 2 0 4 3 3 7 0
NA Broward E022 0 1185 823 1 4 2 7 2 10 2
NA Broward E023 0 739 524 0 1 5 3 2 2 0
NA Broward E024 0 1394 805 2 2 8 4 3 10 0
NA Broward E025 0 499 236 0 1 0 2 0 1 0
NA Broward E026 0 744 381 1 4 1 2 0 4 0
NA Broward E027 0 1381 722 3 3 6 6 4 7 1
NA Broward E028 0 702 258 0 3 2 6 3 7 2
NA Broward E029 0 571 118 1 0 3 1 0 3 0
NA Broward E030 0 300 49 0 0 2 1 0 2 1
NA Broward E031 0 858 586 1 1 5 0 2 5 0
NA Broward E032 0 879 536 0 1 2 1 1 10 0
NA Broward E033 0 850 442 1 1 1 3 2 2 1
NA Broward E034 0 325 271 0 1 0 3 0 1 0
NA Broward F001 0 782 550 0 1 5 8 3 5 3
NA Broward F002 0 641 298 1 2 6 6 1 4 0
NA Broward F003 0 623 275 1 2 0 3 0 3 0
NA Broward F004 0 2217 1113 2 8 31 14 5 36 1
NA Broward F005 0 1567 932 3 6 8 6 4 7 3
NA Broward F006 0 1042 414 2 0 3 4 3 12 0
NA Broward F007 0 1123 499 0 1 7 1 0 9 1
NA Broward F008 0 1040 434 1 4 4 5 1 11 1
NA Broward F009 0 884 368 0 0 4 1 4 6 1
NA Broward F010 0 1108 549 2 2 2 6 7 12 2
NA Broward F011 0 407 341 1 1 3 3 0 6 0
NA Broward F012 0 1505 984 6 4 9 15 4 8 1
NA Broward F013 0 481 225 1 1 1 2 2 3 0
NA Broward F014 0 629 272 2 2 3 3 2 2 2
NA Broward G001 0 1002 280 3 1 4 4 1 5 0
NA Broward G002 0 1138 635 2 6 10 6 1 16 0
NA Broward G003 0 1016 492 5 5 5 5 4 6 2
NA Broward G004 0 1163 622 11 3 15 8 8 15 0
NA Broward G005 0 819 302 1 3 3 3 0 3 1
NA Broward G006 0 1137 556 3 3 12 9 5 9 2
NA Broward G007 0 243 113 1 0 1 3 0 3 0
NA Broward G008 0 1566 332 5 2 18 6 1 3 3
NA Broward G009 0 429 69 0 0 6 2 1 2 0
NA Broward G010 0 803 532 0 5 9 4 4 13 3
NA Broward G011 0 969 444 1 4 8 9 0 9 2
NA Broward G012 0 742 363 1 3 4 3 1 7 1
NA Broward G013 0 451 94 0 1 2 3 1 1 0
NA Broward G014 0 923 369 2 2 13 6 6 8 0
NA Broward G015 0 818 358 2 5 8 5 2 6 0
NA Broward G016 0 1490 706 4 5 7 11 0 15 1
NA Broward H001 0 1399 153 2 0 4 2 3 4 0
NA Broward H002 0 523 45 0 1 1 0 0 1 0
NA Broward H003 0 1729 189 3 1 6 1 3 5 1
NA Broward H004 0 702 112 0 0 4 1 1 2 0
NA Broward H005 0 1597 141 0 4 15 2 2 9 1
NA Broward H006 0 1020 153 1 2 4 2 2 5 0
NA Broward H007 0 1174 160 0 2 6 1 0 7 0
NA Broward H008 0 933 104 3 2 3 2 1 0 1
NA Broward H009 0 546 67 1 0 5 2 1 0 0
NA Broward H010 0 150 18 0 0 0 0 0 0 0
