COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Tester Rosendale Breckenridge
Missoula "RUSSELL 99N" 0 725 235 32
Missoula "RUSSELL 99S" 0 934 420 31
Missoula "SEELEY LK 92" 0 516 653 37
Missoula "SENIOR CIT 91" 0 1052 101 10
Missoula "SENIOR CIT 95" 0 813 102 13
Missoula "SPRING MDW 94" 0 260 393 21
Missoula "SPRING MDW 96" 0 104 119 3
Missoula "ST JOSEPH 100E" 0 1526 173 23
Missoula "ST JOSEPH 100W" 0 1833 234 23
Missoula "SWAN 92" 0 103 209 11
Missoula "TARGET RNG 97" 0 626 457 29
Missoula "TARGET RNG 98" 0 991 664 39
Missoula "UC CENTR 89" 0 460 70 14
Musselshell "PRECINCT 1" 0 145 249 27
Musselshell "PRECINCT 3" 0 100 245 22
Musselshell "PRECINCT 5" 0 112 481 21
Musselshell "PRECINCT 6" 0 180 597 40
Musselshell "PRECINCT 7" 0 21 99 6
Musselshell "PRECINCT 8" 0 15 72 0
Park "59A NORTH PC" 0 298 547 16
Park "59B N CENTRAL PC" 0 566 693 34
Park "59C S CENTRAL PC" 0 418 576 16
Park "59D SOUTH PC" 0 491 346 18
Park "60A NW OF LIVINGSTON" 0 365 405 20
Park "60B SW OF LIVINGSTON" 0 356 370 26
Park "60CL NW COL" 0 512 481 26
Park "60DL NE COL" 0 469 266 22
Park "60EL SE COL" 0 559 183 25
Park "60FL SC COL" 0 511 173 21
Park "60GL SW COL" 0 569 317 29
Petroleum "PRECNCT 1" 0 58 248 6
Phillips "PCT 11N - PHILLIPS - 33/17" 0 431 984 69
Phillips "PCT 11S - PHILLIPS - 32/16" 0 146 442 10
Pondera BRADY_19 0 126 170 11
Pondera "CONRAD RURAL 29" 0 46 104 5
Pondera CONRAD_24 0 250 292 21
Pondera CONRAD_27 0 215 323 21
Pondera DUPUYER_23 0 27 82 7
Pondera "HEART BUTTE_20" 0 279 11 3
Pondera "VALIER (RURAL)_35" 0 142 270 20
Pondera VALIER_34 0 91 161 8
"Powder River" PRECINCT03 0 15 36 1
"Powder River" PRECINCT04 0 9 32 1
"Powder River" PRECINCT05 0 35 87 2
"Powder River" PRECINCT08 0 2 17 0
"Powder River" PRECINCT09 0 12 36 0
"Powder River" PRECINCT11 0 74 297 14
"Powder River" PRECINCT12 0 56 243 4
Powell "PRECINCT #1.80" 0 19 131 1
Powell "PRECINCT #10.80" 0 20 56 4
Powell "PRECINCT #11.80" 0 13 83 7
Powell "PRECINCT #12.80" 0 43 101 2
Powell "PRECINCT #14.80" 0 49 109 7
Powell "PRECINCT #16.78" 0 69 76 3
Powell "PRECINCT #2.80" 0 29 63 3
Powell "PRECINCT #3.78" 0 133 231 3
Powell "PRECINCT #4.78" 0 100 142 7
Powell "PRECINCT #5.78" 0 170 158 15
Powell "PRECINCT #6.78" 0 167 173 11
Powell "PRECINCT #7.78" 0 145 180 25
Powell "PRECINCT #8.80" 0 69 138 5
Prairie "PRECINCT NO. 1" 0 59 98 8
Prairie "PRECINCT NO. 2" 0 51 92 7
Prairie "PRECINCT NO. 3" 0 36 94 7
Prairie "PRECINCT NO. 4" 0 31 166 4
Ravalli "PCT 01" 0 160 405 14
Ravalli "PCT 02" 0 305 690 31
Ravalli "PCT 03" 0 209 430 17
Ravalli "PCT 04" 0 230 491 12
Ravalli "PCT 05" 0 526 711 26
Ravalli "PCT 06" 0 390 538 26
Ravalli "PCT 07" 0 546 665 27
Ravalli "PCT 08" 0 672 481 38
Ravalli "PCT 09" 0 496 446 43
Ravalli "PCT 10" 0 388 694 32
Ravalli "PCT 11" 0 398 677 25
Ravalli "PCT 12" 0 364 561 13
Ravalli "PCT 13" 0 298 560 36
Ravalli "PCT 14" 0 16 269 13
Ravalli "PCT 15" 0 408 730 22
Ravalli "PCT 16" 0 264 494 25
Ravalli "PCT 17" 0 357 552 20
Ravalli "PCT 18" 0 395 675 32
Ravalli "PCT 19" 0 487 700 26
Ravalli "PCT 20" 0 437 440 24
Ravalli "PCT 21" 0 191 315 21
Ravalli "PCT 22" 0 516 709 28
Ravalli "PCT 23" 0 512 744 36
Ravalli "PCT 24" 0 591 645 36
Richland "PRECINCT 01" 0 66 126 11
Richland "PRECINCT 02" 0 97 202 20
Richland "PRECINCT 03" 0 114 298 16
Richland "PRECINCT 04" 0 67 174 8
Richland "PRECINCT 05" 0 91 213 11
Richland "PRECINCT 07" 0 77 114 10
