COUNTY AREA TOTAL DEM REP LMN GLC Writein
COUNTY AREA TOTAL Smith Lewis OConnor Steinberg Writein
"Blue Earth" "MANKATO W-02 P-17" 276 148 99 24 5 0
"Blue Earth" "MANKATO TWP P-1" 150 62 83 4 1 0
"Blue Earth" "MANKATO TWP P-2" 1033 419 554 40 18 2
"Blue Earth" MAPLETON 900 350 473 61 14 2
"Blue Earth" "MAPLETON TWP" 177 65 107 3 2 0
"Blue Earth" "MEDO TWP" 196 50 138 5 3 0
"Blue Earth" "MINNESOTA LAKE" 3 1 2 0 0 0
"Blue Earth" "NORTH MANKATO" 2 1 1 0 0 0
"Blue Earth" PEMBERTON 111 27 68 14 2 0
"Blue Earth" "PLEASANT MOUND TWP" 120 20 94 6 0 0
"Blue Earth" "RAPIDAN TWP" 723 286 395 34 8 0
"Blue Earth" "SAINT CLAIR" 451 173 226 36 15 1
"Blue Earth" "SHELBY TWP" 157 48 102 6 1 0
"Blue Earth" SKYLINE 215 119 91 3 2 0
"Blue Earth" "SOUTH BEND TWP" 847 354 421 53 18 1
"Blue Earth" "STERLING TWP" 162 62 89 5 6 0
"Blue Earth" "VERNON CENTER" 163 53 98 10 1 1
"Blue Earth" "VERNON CENTER TWP" 156 59 88 6 3 0
Brown "ALBIN TWP" 187 47 135 3 2 0
Brown "BASHAW TWP" 137 27 106 1 3 0
Brown "BURNSTOWN TWP" 163 32 125 5 1 0
Brown COBDEN 16 6 7 3 0 0
Brown COMFREY 219 50 151 9 9 0
Brown "COTTONWOOD TWP" 538 151 357 18 9 3
Brown "EDEN TWP" 145 26 119 0 0 0
Brown EVAN 40 14 22 3 1 0
Brown HANSKA 203 81 105 12 5 0
Brown "HOME TWP" 335 56 275 4 0 0
Brown "LAKE HANSKA TWP" 200 75 116 7 2 0
Brown "LEAVENWORTH TWP" 180 39 135 1 4 1
Brown "LINDEN TWP" 170 59 102 8 1 0
Brown "MILFORD TWP" 447 111 321 11 3 1
Brown "MULLIGAN TWP" 119 40 74 4 1 0
Brown "NEW ULM W-1 P-1" 806 319 386 79 21 1
Brown "NEW ULM W-1 P-2" 1012 417 510 61 24 0
Brown "NEW ULM W-2 P-1" 915 367 457 71 19 1
Brown "NEW ULM W-2 P-2" 843 323 443 60 17 0
Brown "NEW ULM W-3 P-1" 1380 539 767 56 17 1
Brown "NEW ULM W-3 P-2" 875 356 441 62 16 0
Brown "NEW ULM W-4 P-1" 1032 378 593 46 15 0
Brown "NEW ULM W-4 P-2" 865 364 475 13 13 0
Brown "NORTH STAR TWP" 169 24 139 5 1 0
Brown "PRAIRIEVILLE TWP" 163 20 138 4 1 0
Brown "SIGEL TWP" 231 65 156 5 5 0
Brown "SLEEPY EYE W-1" 681 201 435 38 6 1
Brown "SLEEPY EYE W-2" 1031 260 712 48 10 1
Brown "SPRINGFIELD W-1" 512 150 328 24 10 0
Brown "SPRINGFIELD W-2" 549 168 350 24 7 0
Brown "STARK TWP" 208 27 177 3 1 0
Brown "STATELY TWP" 97 16 79 2 0 0
Carlton "ATKINSON TWP" 252 100 136 12 4 0
Carlton "AUTOMBA TWP" 91 35 48 6 1 1
Carlton BARNUM 263 112 122 23 5 1
Carlton "BARNUM TWP" 726 331 354 28 13 0
Carlton "BESEMAN TWP" 74 23 46 5 0 0
Carlton "BLACKHOOF TWP" 620 284 304 23 9 0
Carlton CARLTON 554 315 213 19 7 0
Carlton "CLOQUET W-1" 1414 722 616 64 12 0
Carlton "CLOQUET W-2" 1108 555 419 100 34 0
Carlton "CLOQUET W-3" 1244 620 460 120 43 1
Carlton "CLOQUET W-4" 1307 676 496 103 30 2
Carlton "CLOQUET W-5 P-1" 1128 574 496 48 10 0
Carlton "CLOQUET W-5 P-2" 329 214 55 49 11 0
Carlton "CLEAR CREEK UNORG" 90 35 51 3 0 1
Carlton "CORONA UNORG" 95 41 45 7 2 0
Carlton CROMWELL 120 67 45 5 3 0
Carlton "EAGLE TWP" 360 151 197 10 2 0
Carlton "HOLYOKE TWP" 139 60 75 2 2 0
Carlton "KALEVALA TWP" 174 67 100 6 1 0
Carlton "KETTLE RIVER" 86 45 34 5 2 0
Carlton "LAKEVIEW TWP" 125 64 60 0 1 0
Carlton "MAHTOWA TWP" 393 178 188 21 6 0
