COUNTY AREA TOTAL DEM REP LIB Peterson Writein
COUNTY AREA TOTAL Scholten King Aldrich Peterson Writein
Shelby "Shelby Hall" 496 168 319 8 1 0
Shelby "St. Josephs Hall Earling" 785 260 504 10 9 2
Shelby "Harlan Ward 1" 391 163 212 9 6 1
Shelby "Harlan Ward 2" 575 243 318 11 3 0
Shelby "Harlan Ward 3" 577 238 318 14 5 2
Shelby "Harlan Ward 4" 420 153 253 7 7 0
Sioux "Alton/Nassau/East Orange" 830 299 512 13 6 0
Sioux Floyd/Lynn 656 144 502 8 2 0
Sioux Grant/Sheridan 661 153 495 9 4 0
Sioux "Hawarden/Buncombe/Logan/Washington/Eagle South" 1043 436 585 17 5 0
Sioux Lincoln 1311 200 1088 15 7 1
Sioux "Orange City No. 1/Holland West" 1476 469 976 22 2 7
Sioux "Orange City No. 2/Holland East/Nassau" 1467 450 987 22 3 5
Sioux "Plato/Garfield/Settlers/Sioux/Eagle North" 688 99 585 2 2 0
Sioux "Reading/Center South" 441 102 335 3 1 0
Sioux "Rock Valley East" 845 146 692 4 3 0
Sioux "Rock Valley West/Rock" 1018 117 893 7 1 0
Sioux Sherman 288 36 240 6 4 2
Sioux "Sioux Center North/Capel/Welcome" 1034 219 794 14 4 3
Sioux "Sioux Center Central" 878 314 539 19 4 2
Sioux "Sioux Center South" 1738 432 1278 17 8 3
Sioux "West Branch/Center North" 394 66 323 4 1 0
Story "Ames 1-1" 1261 833 386 36 6 0
Story "Ames 1-2" 1454 1104 295 45 9 1
Story "Ames 1-3/Grant 2" 1176 819 309 44 4 0
Story "Ames 1-4" 1391 1137 220 25 9 0
Story "Ames 1-5" 1703 1179 483 36 4 1
Story "Ames 2-1" 1635 1308 271 45 9 2
Story "Ames 2-2" 1270 974 247 38 9 2
Story "Ames 2-3" 1493 1064 395 27 3 4
Story "Ames 2-4" 1775 1201 528 34 11 1
Story "Ames 2-5" 2088 1365 676 39 8 0
Story "Ames 3-1/Wash 2" 1714 1194 456 53 10 1
Story "Ames 3-2" 802 613 159 25 4 1
Story "Ames 3-3" 986 737 209 34 5 1
Story "Ames 3-4" 1546 1119 379 43 3 2
Story "Ames 3-5/Wash 3" 1388 1051 298 31 8 0
Story "Ames 4-1" 1033 742 241 44 4 2
Story "Ames 4-2" 739 448 251 35 4 1
Story "Ames 4-3" 800 572 186 29 12 1
Story "Ames 4-4" 1291 1015 229 39 6 2
Story "Ames 4-5" 1551 1083 437 22 8 1
Story Collins/Collins 361 135 210 13 2 1
Story Franklin/Gilbert 2038 1061 919 45 11 2
Story "Grant Twp" 241 120 119 1 1 0
Story Howard/Roland 983 515 431 31 5 1
Story Huxley 1738 917 753 53 15 0
Story "Indian Creek/Maxwell" 684 337 312 30 5 0
Story "Lafayette Twp" 234 97 129 5 3 0
Story Lincoln/Zearing 326 135 179 11 1 0
Story "Milford Twp" 298 140 147 9 2 0
Story "Nevada 1" 697 411 248 31 7 0
Story "Nevada 2" 686 457 194 29 6 0
Story "Nevada 3/Grant 3" 763 432 301 22 8 0
Story "Nevada 4" 752 441 290 17 2 2
Story "Nevada Twp" 414 195 207 9 3 0
Story "New Albany/Colo" 553 238 290 18 6 1
Story "Palestine Twp" 433 202 216 13 2 0
Story "Richland Twp" 195 84 105 3 3 0
Story "Sherman Twp" 101 36 63 1 1 0
Story Slater/Sheldahl 864 496 328 30 10 0
Story "Story City" 1685 885 752 37 9 2
Story Union/Cambridge 634 343 266 17 8 0
Story Warren/McCallsburg 264 90 159 12 3 0
Story Washington/Kelley 463 244 201 17 1 0
Webster "Badger-NW Cooper" 632 309 312 5 6 0
Webster Clay-Roland 349 111 229 4 5 0
Webster Colfax-Duncombe 246 115 123 8 0 0
Webster "Cooper Township" 121 51 68 2 0 0
Webster Dayton-Burnside 606 269 310 18 8 1
Webster "Deer Creek-Jackson" 377 130 238 6 3 0
Webster "Douglas Township" 552 240 301 9 2 0
Webster "Elkhorn Township" 379 144 220 15 0 0
Webster "Fort Dodge #1" 1130 584 519 18 8 1
Webster "Fort Dodge #2" 799 461 315 16 7 0
