COUNTY AREA TOTAL DEM REP LIB GRN AIP PAF
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins DeLaFuente LaRiva
Alameda 535200 0 0 0 0 0 0 0
Alameda 535300 73 38 34 0 0 0 0
Alameda 535500 2 0 2 0 0 0 0
Alameda 535600 0 0 0 0 0 0 0
Alameda 535700 0 0 0 0 0 0 0
Alameda 535900 0 0 0 0 0 0 0
Alameda 540300 2121 1394 657 27 2 6 3
Alameda 540400 736 537 171 6 4 2 0
Alameda 540600 2897 2008 782 31 10 15 2
Alameda 542000 3375 2227 1027 35 10 13 9
Alameda 543300 3697 2575 989 45 17 14 6
Alameda 545500 1291 944 296 21 4 3 1
Alameda 546100 2484 1865 531 17 12 6 4
Alameda 546200 2476 1947 453 29 8 2 7
Alameda 547750 3502 2514 865 35 10 13 4
Alameda 547760 2286 1684 551 9 7 7 5
Alameda 547770 1069 807 225 6 6 7 0
Alameda 547900 3614 2689 816 19 20 8 3
Alameda 810900 0 0 0 0 0 0 0
Alameda 815110 0 0 0 0 0 0 0
Alameda 815140 10 8 2 0 0 0 0
Alameda 819020 11 6 4 0 0 0 0
Alameda 819100 2 2 0 0 0 0 0
Alameda 820200 424 292 109 4 3 2 0
Alameda 821120 3229 2340 734 19 12 14 12
Alameda 821210 2696 1945 627 15 10 12 5
Alameda 821310 43 37 5 0 0 0 0
Alameda 821700 3004 2183 667 24 15 6 3
Alameda 821710 745 471 232 5 3 1 0
Alameda 821800 3998 2894 917 19 15 14 2
Alameda 821900 3094 2282 657 22 14 8 3
Alameda 822000 3472 2564 743 18 16 12 7
Alameda 823020 1 0 1 0 0 0 0
Alameda 823030 0 0 0 0 0 0 0
Alameda 823200 2086 1584 386 9 12 7 8
Alameda 823300 1721 1291 309 9 13 6 12
Alameda 823400 1895 1397 399 9 9 5 7
Alameda 823410 197 142 42 1 2 4 0
Alameda 823500 753 551 163 4 1 5 1
Alameda 823710 3194 2309 714 23 14 9 9
Alameda 823720 892 633 228 3 5 0 2
Alameda 824100 1189 820 299 10 4 4 5
Alameda 830210 3232 2449 646 28 13 5 5
Alameda 830220 4294 3083 995 23 26 19 10
Alameda 830500 2280 1723 472 17 9 2 6
Alameda 831200 2634 1877 655 26 7 9 7
Alameda 831220 12 11 1 0 0 0 0
Alameda 831410 2995 2115 744 19 11 9 3
