COUNTY AREA TOTAL DEM REP LIB CST
COUNTY AREA TOTAL Cunningham Tillis Bray Hayes
CATAWBA 32 0 791 1356 87 48
CATAWBA 33 0 854 2338 91 61
CATAWBA 34 0 892 2378 94 55
CATAWBA 35 0 702 1350 74 41
CATAWBA 36 0 724 1130 52 30
CATAWBA 37 0 867 1029 76 34
CATAWBA 38 0 827 1488 74 28
CATAWBA 39 0 611 1358 43 20
CATAWBA 40 0 443 685 39 21
CATAWBA 41 0 628 2101 77 32
CHATHAM 15 0 1222 717 47 22
CHATHAM 18 0 651 1179 51 29
CHATHAM 20 0 618 944 47 16
CHATHAM 21 0 632 696 45 12
CHATHAM 24 0 73 560 11 11
CHATHAM 3 0 400 992 33 27
CHATHAM 30 0 612 810 52 22
CHATHAM 42 0 749 1027 54 18
CHATHAM 45 0 308 482 40 15
CHATHAM 6 0 109 535 10 8
CHATHAM 75 0 2189 1933 70 25
CHATHAM 78 0 2896 1659 72 17
CHATHAM 85 0 969 1001 57 20
CHATHAM 9 0 327 816 34 23
CHATHAM ESC114 0 1587 1327 85 36
CHATHAM MCH110 0 5295 2191 184 39
CHATHAM NWM117 0 3464 1710 93 23
CHATHAM PIT113 0 3596 2460 186 68
CHEROKEE ANNW 0 281 795 34 27
CHEROKEE ANSW 0 256 799 39 22
CHEROKEE BELL 0 218 721 17 8
CHEROKEE BRAS 0 177 507 12 13
CHEROKEE CSON 0 134 526 18 7
CHEROKEE GCRK 0 53 307 5 6
CHEROKEE HANG 0 84 479 19 11
CHEROKEE HIWA 0 332 1155 31 10
CHEROKEE HOTH 0 222 828 32 18
CHEROKEE MARB 0 177 799 29 17
CHEROKEE MURN 0 427 1069 42 28
CHEROKEE MURS 0 413 1268 53 19
CHEROKEE PCHT 0 368 1244 37 29
CHEROKEE RGER 0 306 955 26 15
CHEROKEE TOPT 0 55 264 4 3
CHEROKEE UNKA 0 86 332 10 8
CHOWAN 1 0 897 501 28 16
CHOWAN 2 0 1080 1237 48 22
CHOWAN 3 0 209 1032 23 10
CHOWAN 4 0 319 331 11 14
CHOWAN 5 0 153 552 9 2
CHOWAN 6 0 466 700 20 9
CLAY BRAS 0 179 446 10 9
CLAY HAY1 0 224 674 15 19
CLAY HAY2 0 290 750 35 18
