COUNTY AREA TOTAL DEM REP GRN IND1 IND2 WI1
COUNTY AREA TOTAL Strickland Portman DeMare Connors Rupert Stahl
Belmont "MARTINS FERRY 2-A" 706 265 361 14 21 7 0
Belmont "MARTINS FERRY 3-A" 187 72 90 3 7 5 0
Belmont "MARTINS FERRY 3-B" 350 110 201 3 9 8 0
Belmont "MARTINS FERRY 4-A" 538 210 268 9 15 20 0
Belmont "ST CLAIRSVILLE 1-A" 531 142 354 8 3 9 0
Belmont "ST CLAIRSVILLE 2-A" 373 132 205 5 11 9 0
Belmont "ST CLAIRSVILLE 2-B" 599 152 409 3 7 6 0
Belmont "ST CLAIRSVILLE 3-A" 346 91 212 5 8 9 0
Belmont "ST CLAIRSVILLE 3-B" 429 122 265 4 5 12 0
Belmont "ST CLAIRSVILLE 4-A" 333 101 199 5 5 10 0
Belmont "ST CLAIRSVILLE 4-B" 357 109 224 4 5 1 0
Belmont "COLERAIN TWP 2" 244 65 156 4 8 6 0
Belmont "COLERAIN TWP 1" 223 46 158 0 6 3 0
Belmont "COLERAIN TWP 3" 664 180 435 6 5 10 0
Belmont "COLERAIN TWP 4" 392 111 255 3 6 4 0
Belmont "COLERAIN TWP 5" 384 111 244 0 13 4 0
Belmont "COLERAIN TWP 6" 303 94 178 6 10 8 0
Belmont "FLUSHING VILLAGE" 400 113 254 3 10 4 0
Belmont "HOLLOWAY VILLAGE" 129 40 75 1 2 2 0
Belmont "FLUSHING TWP 1" 266 74 167 0 7 6 0
Belmont "BELMONT VILLAGE" 220 63 141 0 7 3 0
Belmont "BETHESDA VILLAGE" 544 137 353 10 10 5 0
Belmont "GOSHEN TWP" 709 127 528 3 14 11 0
Belmont "KIRKWOOD TWP" 165 35 114 1 5 6 0
Belmont "SHADYSIDE VILLAGE 1" 579 221 300 3 17 5 0
Belmont "SHADYSIDE VILLAGE 2" 729 245 417 10 16 6 0
Belmont "SHADYSIDE VILLAGE 3" 551 217 286 5 10 6 0
Belmont "MEAD TWP DILLIES" 717 203 456 7 13 12 0
Belmont "MEAD TWP MEAD SHADYSIDE" 406 126 231 8 5 17 0
Belmont "BRIDGEPORT VILLAGE 1" 374 130 201 9 10 7 0
Belmont "BRIDGEPORT VILLAGE 2" 344 122 189 5 8 7 0
Belmont "BROOKSIDE VILLAGE" 282 88 174 4 2 4 0
Belmont "PEASE TWP BLAINE WOLFHURST" 636 220 357 13 6 15 0
Belmont "PEASE TWP BOYDSVILLE" 524 174 294 8 10 13 0
Belmont "PEASE TWP SUNSET HTS" 223 80 128 1 7 0 0
