COUNTY AREA TOTAL DEM REP De_La_Fuente Hawkins Jorgensen Others
COUNTY AREA TOTAL Biden Trump De_La_Fuente Hawkins Jorgensen Others
WAS Lubec 893 457 406 2 8 9 1
WAS Machias 910 395 461 1 17 18 1
WAS Machiasport 571 216 337 0 2 11 0
WAS Marshfield 318 102 208 0 2 4 0
WAS Meddybemps 106 28 70 0 1 4 0
WAS Milbridge/T10 742 326 391 1 2 11 0
WAS Northfield 125 38 81 3 1 2 0
WAS Pembroke 485 208 267 0 5 2 0
WAS Perry 476 206 258 0 4 2 0
WAS "Pleasant Point Voting District" 238 196 35 1 2 1 0
WAS Princeton 477 118 340 1 5 4 0
WAS Robbinston 358 128 221 0 2 2 0
WAS "Roque Bluffs" 184 101 80 0 0 2 0
WAS "Sakom Twp" 0 0 0 0 0 0 0
WAS Steuben/T7SD 676 245 409 0 4 10 0
WAS "T26 ED BPP" 4 0 4 0 0 0 0
WAS Talmadge 32 13 18 0 0 1 0
WAS Topsfield 124 24 100 0 0 0 0
WAS Vanceboro 95 28 65 0 0 0 0
WAS Waite 51 18 33 0 0 0 0
WAS Wesley 79 27 45 0 3 1 0
WAS Whiting 367 147 205 0 3 6 0
WAS Whitneyville 130 55 70 0 4 1 0
YOR Acton 1653 651 930 4 16 35 0
YOR Alfred 2017 983 948 5 18 41 0
YOR Arundel 2854 1405 1347 3 31 39 0
YOR Berwick 4413 1999 2229 10 38 95 0
YOR Biddeford 11207 7022 3705 24 133 181 1
YOR Buxton 5344 2416 2686 7 53 114 3
YOR Cornish 951 429 478 2 16 19 0
YOR Dayton 1396 582 756 1 8 34 0
YOR Eliot 4776 2839 1788 6 32 63 0
YOR Hollis 2934 1268 1535 3 23 66 0
YOR Kennebunk 8347 5368 2682 8 63 115 0
YOR Kennebunkport 2781 1777 926 5 20 18 0
YOR Kittery 6482 4418 1809 6 65 114 0
YOR Lebanon 3565 1232 2178 4 39 76 0
YOR Limerick 1862 813 948 6 33 40 0
YOR Limington 2321 856 1357 6 27 52 0
YOR Lyman 2980 1315 1537 4 30 58 0
YOR Newfield 974 362 575 1 12 13 0
YOR "North Berwick" 3146 1465 1557 5 22 62 0
YOR Ogunquit 1068 731 311 0 8 8 0
YOR "Old Orchard Beach" 6276 3708 2368 10 54 75 0
YOR Parsonsfield 1077 469 564 2 13 18 0
YOR Saco 12767 7794 4497 15 159 191 0
YOR Sanford 11040 5392 5182 23 115 219 0
YOR Shapleigh 1802 704 1034 1 21 28 1
YOR "South Berwick" 4681 2748 1734 12 51 89 0
YOR Waterboro 4513 1861 2471 7 50 89 0
YOR Wells 8051 4465 3333 14 55 108 0
YOR York 9764 6117 3352 6 54 129 0
STATE UOCAVA 5771 4599 838 10 119 147 6
