COUNTY AREA TOTAL DEM REP DeLaFuente Blankenship King Hawkins Jorgensen Pierce West Writein
COUNTY AREA TOTAL Biden Trump DeLaFuente Blankenship King Hawkins Jorgensen Pierce West Writein
Cass "MS / MS TWP" 312 89 219 0 1 0 2 1 0 0 0
Cass "AN / WI / GN-LN-BN-FR TWPS" 980 296 660 1 1 0 2 17 1 1 1
Cass "Ed TWP / VI TWP" 134 33 101 0 0 0 0 0 0 0 0
Cedar CASS/CENTER/IOWA/ROCHESTER 1421 482 918 1 5 1 2 10 0 1 1
Cedar DAYTON/FAIRFIELD 821 261 542 1 0 0 4 10 0 2 1
Cedar "FARMINGTON/SUGAR CREEK" 1543 499 1009 1 2 0 6 24 0 1 1
Cedar "FREMONT/RED OAK" 574 202 361 0 0 0 2 8 0 0 1
Cedar GOWER/SPRINGDALE 808 426 362 0 2 0 3 13 0 0 2
Cedar INLAND 404 93 306 0 0 0 0 4 0 0 1
Cedar LINN/PIONEER 1137 428 689 0 1 0 0 15 1 0 3
Cedar MASSILLON/SPRINGFIELD 842 269 563 0 1 0 1 3 0 1 4
Cedar "TIPTON 1" 520 240 264 1 0 0 1 10 0 1 3
Cedar "TIPTON 2" 606 292 307 1 0 0 0 3 0 2 1
Cedar "TIPTON 3" 581 275 298 0 0 0 1 6 0 0 1
Cedar "WEST BRANCH 1" 1446 870 542 1 3 2 2 18 0 4 4
"Cerro Gordo" "Clear Lake Ward 1" 1579 623 935 2 1 0 0 11 0 3 4
"Cerro Gordo" "Clear Lake Ward 2" 1675 681 959 3 1 2 3 18 0 1 7
"Cerro Gordo" "Clear Lake Ward 3" 1465 596 846 0 3 0 2 12 0 2 4
"Cerro Gordo" "Clear Lake / Grant / Union Twps Pct" 1396 455 919 0 2 0 1 10 0 2 7
"Cerro Gordo" "Falls Twp - Plymouth Pct" 350 130 217 0 1 0 0 1 1 0 0
"Cerro Gordo" "Falls Twp - Rock Falls Pct" 235 93 140 0 0 0 1 1 0 0 0
"Cerro Gordo" "Geneseo Twp Pct" 698 248 441 1 0 0 0 3 0 3 2
"Cerro Gordo" "Grimes Twp - Meservey Pct" 153 50 100 1 0 0 0 2 0 0 0
"Cerro Gordo" "Grimes Twp - Thornton Pct" 251 81 165 2 0 0 0 3 0 0 0
"Cerro Gordo" "Lake / Lincoln Twps Pct" 311 88 220 0 1 0 0 0 1 1 0
"Cerro Gordo" "Lime Creek / Mason North Twps Pct" 329 124 200 0 0 0 0 3 0 2 0
"Cerro Gordo" "Mason City W-1 P-1" 811 462 330 1 2 0 2 8 0 3 3
"Cerro Gordo" "Mason City W-1 P-2" 1204 623 554 1 2 0 1 14 1 5 3
"Cerro Gordo" "Mason City W-1 P-3" 1366 669 668 1 1 1 3 17 0 3 3
"Cerro Gordo" "Mason City W-2 P-1" 786 425 336 3 0 0 4 13 0 3 2
"Cerro Gordo" "Mason City W-2 P-2" 1650 910 723 1 1 1 1 6 1 2 4
"Cerro Gordo" "Mason City W-2 P-3" 955 507 440 1 0 0 1 3 0 2 1
"Cerro Gordo" "Mason City W-3 P-1" 1159 643 497 1 1 0 3 9 2 2 1
"Cerro Gordo" "Mason City W-3 P-2" 988 513 452 4 1 0 1 10 0 6 1
"Cerro Gordo" "Mason City W-3 P-3" 1784 871 877 5 1 0 4 20 0 2 4
"Cerro Gordo" "Mason City W-4 P-1" 877 502 355 2 3 0 3 6 1 3 2
"Cerro Gordo" "Mason City W-4 P-2" 1075 518 538 5 3 0 3 4 0 0 4
"Cerro Gordo" "Mason City W-4 P-3" 1423 724 675 2 0 1 3 13 0 1 4
"Cerro Gordo" "Mason South / Bath Twps Pct" 397 130 261 0 0 0 1 3 0 2 0
"Cerro Gordo" "Mt Vernon / Pleasant Valley Twps Pct" 380 117 255 0 0 0 1 4 2 0 1
"Cerro Gordo" "Portland / Owen / Dougherty Twps Pct" 504 158 339 0 1 0 4 2 0 0 0
Cherokee "1 - Aurelia" 1007 299 694 0 1 0 1 6 1 2 3
Cherokee "2 - Cleghorn" 1359 352 987 2 3 0 0 9 0 2 4
Cherokee "3 - Quimby" 808 186 615 1 0 0 0 4 0 2 0
Cherokee "4 - Cherokee" 766 170 591 0 0 0 0 5 0 0 0
Cherokee "5 - Cherokee Ward 1" 934 330 587 0 1 0 1 11 0 0 4
Cherokee "6 - Cherokee Ward 2" 743 248 479 3 0 0 1 9 0 2 1
Cherokee "7 - Cherokee Ward 3" 901 351 542 0 1 0 0 4 0 0 3
Chickasaw Bradford 1245 411 822 1 0 0 2 7 1 0 1
Chickasaw Chickasaw 233 66 164 0 2 0 0 1 0 0 0
Chickasaw Dayton-Richland 406 117 285 0 0 0 0 3 0 1 0
Chickasaw "Deerfield-Washington 2" 441 130 301 1 0 2 1 3 0 1 2
Chickasaw Dresden-Fredericksburg 880 272 598 0 1 0 0 7 0 0 2
Chickasaw Jacksonville-Utica 370 107 257 2 0 1 0 3 0 0 0
Chickasaw "New Hampton Rural" 451 114 332 1 0 0 1 3 0 0 0
Chickasaw Stapleton 486 167 312 0 0 0 1 4 0 0 2
Chickasaw "Washington 1" 193 68 121 0 1 1 0 1 0 0 1
Chickasaw "City of New Hampton Ward 1" 451 196 248 0 0 0 1 3 0 0 3
Chickasaw "City of New Hampton Ward 2" 413 155 250 1 0 0 0 6 0 0 1
Chickasaw "City of New Hampton Ward 3" 562 229 324 0 0 0 3 4 0 0 2
Chickasaw "City of New Hampton Ward 4" 500 201 294 0 2 0 1 2 0 0 0
Clarke "MIDDLE PRECINCT" 693 159 521 0 1 1 0 8 0 3 0
Clarke "MURRAY PRECINCT" 704 182 516 1 1 0 0 3 0 0 1
Clarke "NORTHEAST PRECINCT" 955 266 679 0 0 0 2 5 0 0 3
Clarke "Osceola 1st Ward" 658 249 399 0 0 0 0 7 0 2 1
Clarke "Osceola 2nd Ward" 598 247 346 0 1 0 0 2 0 1 1
Clarke "Osceola 3rd Ward" 737 277 449 0 0 0 1 6 1 1 2
Clarke "WOODBURN PRECINCT" 325 86 234 0 0 0 0 3 0 1 1
Clay Douglas/Peterson 430 87 337 0 0 0 0 5 0 0 1
Clay Garfield/Herdland 249 61 186 0 0 1 0 1 0 0 0
Clay Lake/Freeman 323 91 225 0 0 0 0 7 0 0 0
Clay Lincoln/Clay 464 105 350 1 0 0 0 7 0 1 0
Clay "Logan/Gillett Grove" 277 52 217 0 2 0 0 3 2 1 0
Clay "Spencer Ward 1" 892 321 541 0 1 0 2 22 0 3 2
Clay "Spencer Ward 2" 1040 384 633 1 2 0 1 14 1 1 3
Clay "Spencer Ward 3" 1166 392 749 0 2 1 2 13 0 2 5
Clay "Spencer Ward 4" 1432 423 993 0 1 0 0 6 0 5 4
Clay "Spencer Ward 5" 1346 445 875 2 2 0 0 14 0 4 4
Clay Summit/Riverton/Sioux/Meadow 829 202 621 0 1 0 2 2 0 0 1
Clay "Waterford/Lone Tree" 521 99 410 1 0 0 1 7 0 2 1
Clayton BOARDMAN-HIGHLAND 1126 527 582 0 3 1 0 11 1 1 0
Clayton "BUENA VISTA" 180 76 100 1 0 0 0 3 0 0 0
Clayton CASS 882 291 576 1 2 0 1 7 0 2 2
Clayton CLAYTON-GARNAVILLO 715 211 494 0 0 0 1 6 0 0 3
Clayton "COX CREEK-SPERRY" 488 151 328 0 0 0 0 7 0 2 0
Clayton ELK-MALLORY-VOLGA 598 151 441 1 0 1 0 3 0 0 1
Clayton FARMERSBURG-WAGNER 535 176 352 0 0 0 0 5 0 0 2
Clayton GIARD-LUANA-MONONA 1352 392 940 0 1 0 4 10 0 3 2
Clayton "GRAND MEADOW" 221 82 136 1 0 0 1 1 0 0 0
Clayton JEFFERSON-MILLVILLE 1786 670 1084 1 3 2 9 15 0 2 0
Clayton LODOMILLO 351 86 259 0 0 0 0 3 0 2 1
Clayton MARION 183 43 136 0 0 0 0 3 0 0 1
Clayton MENDON 1026 433 580 0 0 1 2 7 0 2 1
Clayton READ 151 51 98 0 1 0 0 1 0 0 0
Clinton "BLOOMFIELD BROOKFIELD DELMAR" 676 233 433 0 0 0 2 7 0 0 1
Clinton "CAMANCHE 1" 1337 582 726 0 5 0 1 20 0 1 2
Clinton "CAMANCHE 2" 1214 525 664 1 1 2 3 12 0 4 2
Clinton "CENTER TWP" 361 86 264 0 2 0 0 9 0 0 0
Clinton "CLINTON 1-1" 910 506 380 0 0 1 2 14 2 5 0
Clinton "CLINTON 1-2" 1465 691 742 0 4 1 2 19 0 1 5
Clinton "CLINTON 2-1" 1068 595 436 1 1 0 4 22 1 3 5
Clinton "CLINTON 2-2" 1774 907 828 1 1 0 2 29 1 4 1
Clinton "CLINTON 3-1" 1497 843 622 0 0 2 3 15 0 5 7
