COUNTY AREA TOTAL DEM REP LMN IND Writein
COUNTY AREA TOTAL Smith Housley Wellington Trooien Writein
Carlton "Mahtowa Twp" 351 197 145 6 3 0
Carlton "Moose Lake" 644 387 216 35 6 0
Carlton "Moose Lake Twp" 486 243 216 18 8 1
Carlton "Progress Unorg" 8 8 0 0 0 0
Carlton "Perch Lake Twp" 475 290 153 28 4 0
Carlton "Red Clover Unorg" 144 63 72 6 3 0
Carlton "Sawyer Unorg" 160 77 72 10 1 0
Carlton Scanlon 496 313 153 22 8 0
Carlton "Silver Brook Twp" 351 153 179 16 3 0
Carlton "Silver Twp" 218 109 98 11 0 0
Carlton "Skelton Twp" 202 107 85 8 2 0
Carlton "Split Rock Twp" 74 41 30 1 2 0
Carlton "Thomson Twp" 2711 1439 1204 51 17 0
Carlton "Twin Lakes Twp" 1124 618 467 32 7 0
Carlton Wrenshall 243 155 77 10 0 1
Carlton "Wrenshall Twp" 252 126 112 10 4 0
Carlton Wright 42 22 18 2 0 0
Carver "Benton Twp" 401 116 273 9 3 0
Carver "Camden Twp" 470 120 341 5 3 1
Carver Carver 2212 1020 1086 81 24 1
Carver "Chanhassen P-1A" 1698 900 759 26 12 1
Carver "Chanhassen P-1B" 1836 902 859 53 21 1
Carver "Chanhassen P-2A" 1407 672 701 26 8 0
Carver "Chanhassen P-2B" 1987 948 976 50 13 0
Carver "Chanhassen P-3" 2356 1110 1182 42 22 0
Carver "Chanhassen P-4" 2331 1172 1100 46 10 3
Carver "Chanhassen P-5" 2306 1052 1199 44 11 0
Carver "Chaska W-1" 3100 1460 1502 103 35 0
Carver "Chaska W-2" 3624 1770 1761 71 22 0
Carver "Chaska W-3" 2558 1275 1132 128 22 1
Carver "Chaska W-4" 2822 1436 1263 96 27 0
Carver Cologne 853 306 500 39 8 0
Carver "Dahlgren Twp P-1" 695 236 433 22 4 0
Carver "Dahlgren Twp P-2" 31 15 15 0 1 0
