COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Northam Gillespie Hyra Other
"Brunswick County" Provisional 4 3 1 0 0
"Buchanan County" "102 - Blackey" 164 24 139 1 0
"Buchanan County" "103 - Hurley" 350 49 299 1 1
"Buchanan County" "201 - Grassy" 58 19 39 0 0
"Buchanan County" "202 - Bull" 219 37 178 3 1
"Buchanan County" "203 - Rocklick" 247 62 185 0 0
"Buchanan County" "301 - Slate" 304 79 222 3 0
"Buchanan County" "302 - North Grundy" 285 53 230 2 0
"Buchanan County" "403 - South Grundy" 463 86 374 3 0
"Buchanan County" "404 - Oakwood" 45 7 38 0 0
"Buchanan County" "501 - Prater" 260 85 175 0 0
"Buchanan County" "502 - Fox" 101 47 53 1 0
"Buchanan County" "503 - Vansant" 281 65 214 2 0
"Buchanan County" "601 - Council" 181 38 142 1 0
"Buchanan County" "602 - Garden" 283 64 218 1 0
"Buchanan County" "603 - Hurricane" 193 69 124 0 0
"Buchanan County" "701 - Whitewood" 416 108 305 3 0
"Buchanan County" "702 - Contrary" 305 51 250 4 0
"Buchanan County" "Ab - Central Absentee Precinct" 387 119 264 3 1
"Buchanan County" Provisional 0 0 0 0 0
"Buckingham County" "101 - New Canton" 590 262 321 7 0
"Buckingham County" "102 - Georgia Creek" 179 64 113 2 0
"Buckingham County" "201 - White Hall" 397 175 218 4 0
"Buckingham County" "301 - Curdsville" 448 167 278 3 0
"Buckingham County" "302 - New Store" 325 81 241 1 2
"Buckingham County" "401 - Maysville" 699 253 444 1 1
"Buckingham County" "501 - Wrights" 306 75 228 3 0
"Buckingham County" "502 - Glenmore" 426 228 190 7 1
"Buckingham County" "601 - Slate River" 588 337 246 5 0
"Buckingham County" "701 - Gold Hill" 431 196 232 3 0
"Buckingham County" "Ab - Central Absentee Precinct" 212 85 127 0 0
"Buckingham County" Provisional 1 1 0 0 0
"Buena Vista City" "1 - First Ward" 935 289 630 15 1
"Buena Vista City" "2 - Second Ward" 720 240 460 18 2
"Buena Vista City" Provisional 0 0 0 0 0
"Campbell County" "101 - Brookville" 1491 376 1104 10 1
"Campbell County" "102 - New London" 1405 309 1077 18 1
"Campbell County" "201 - Walker" 1041 266 759 14 2
"Campbell County" "202 - Bedford Springs" 1480 336 1132 12 0
"Campbell County" "301 - Evington" 501 124 374 3 0
"Campbell County" "302 - Otter River" 466 107 358 1 0
"Campbell County" "303 - Altavista" 1191 415 761 15 0
"Campbell County" "401 - Three Forks" 942 175 757 10 0
"Campbell County" "402 - Court House" 1645 357 1270 16 2
"Campbell County" "501 - Spring Hill" 1365 299 1052 13 1
"Campbell County" "502 - Yellow Branch" 841 249 587 5 0
"Campbell County" "601 - Kings" 885 254 625 5 1
"Campbell County" "602 - Concord" 1333 324 996 13 0
"Campbell County" "701 - Brookneal" 689 211 471 7 0
