DIST COUNTY AREA TOTAL DEM REP OTHER
DIST COUNTY AREA TOTAL Dem Rep Other
2 Leon 4153 0 0 869 577
2 Leon 4155 0 0 244 269
2 Leon 4162 0 0 24 21
2 Leon 4163 0 0 1066 622
2 Leon 4167 0 0 1733 883
2 Leon 4184 0 0 350 249
2 Leon 4401 0 0 406 217
2 Leon 4403 0 0 1020 390
2 Leon 4405 0 0 1219 541
2 Leon 4408 0 0 1071 559
2 Leon 4451 0 0 487 319
2 Leon 4453 0 0 874 413
2 Leon 4455 0 0 1773 729
2 Leon 4457 0 0 75 39
2 Leon 4459 0 0 2395 1151
2 Leon 4461 0 0 1442 666
2 Leon 5101 0 0 56 51
2 Leon 5103 0 0 351 555
2 Leon 5105 0 0 1107 1512
2 Leon 5107 0 0 178 199
2 Leon 5110 0 0 563 636
2 Leon 5154 0 0 376 181
2 Leon 5209 0 0 170 229
2 Leon 5211 0 0 504 486
2 Leon 5212 0 0 89 72
2 Leon 5214 0 0 742 694
2 Leon 5219 0 0 1189 866
2 Leon 5223 0 0 110 62
2 Leon 5225 0 0 1972 1386
2 Leon 5228 0 0 40 29
2 Leon 5251 0 0 1129 727
2 Leon 5261 0 0 1454 867
2 Leon 5263 0 0 1124 615
2 Leon 5284 0 0 1069 702
2 Levy "Bronson Dogan Cobb Building" 0 0 2270 106
2 Levy "Cedar Key Community Center" 0 0 823 59
2 Levy "Fanning Springs City Hall" 0 0 1370 26
2 Levy "Gulf Hammock Church of God" 0 0 350 14
2 Levy "Inglis Community Center" 0 0 1708 84
2 Levy "Levy County Ag Extension Office" 0 0 1408 77
2 Levy "Miracle Vision Tabernacle" 0 0 878 60
2 Levy "Morriston Baptist Church" 0 0 2204 105
2 Levy "Pine Grove Baptist Church" 0 0 745 23
2 Levy "Tommy Usher Center" 0 0 3595 119
2 Levy "Williston City Hall" 0 0 1663 108
2 Levy "Williston Highlands" 0 0 1945 80
2 Liberty Annex 0 0 144 7
2 Liberty Bristol 0 0 743 10
2 Liberty Hosford 0 0 439 8
2 Liberty "Lake Mystic" 0 0 739 8
2 Liberty Orange 0 0 170 3
2 Liberty "Rock Bluff" 0 0 147 30
2 Liberty Sumatra 0 0 122 0
2 Liberty Telogia 0 0 469 7
2 Marion 0050 0 0 831 41
2 Marion 2551 0 0 651 18
2 Marion 2600 0 0 2392 138
2 Marion 2610 0 0 984 37
2 Marion 2620 0 0 215 18
2 Marion 2630 0 0 257 46
2 Marion 4500 0 0 1279 68
2 Marion 4510 0 0 1746 95
2 Marion 4520 0 0 2009 106
2 Marion 4521 0 0 105 5
2 Marion 4600 0 0 740 43
2 Marion 4650 0 0 1113 66
2 Marion 4651 0 0 3443 210
2 Marion 4652 0 0 617 37
2 Marion 4653 0 0 611 26
2 Marion 4654 0 0 2393 97
2 Marion 4690 0 0 1667 102
2 Marion 4700 0 0 455 20
2 Marion 4710 0 0 2141 124
2 Marion 4720 0 0 576 45
2 Marion 4730 0 0 663 51
2 Suwannee "Precinct 1 - Recreation Center" 0 21 998 455
2 Suwannee "Precinct 10 - McAlpin" 0 9 1217 161
2 Suwannee "Precinct 11 - O'Brien" 0 13 1265 162
2 Suwannee "Precinct 12 - Wellborn" 0 7 1484 142
2 Suwannee "Precinct 13 - Branford" 0 13 1596 168
2 Suwannee "Precinct 14 - Clayland" 0 8 762 76
2 Suwannee "Precinct 15 - Pinegrove" 0 8 872 103
2 Suwannee "Precinct 16 - Anchor Church" 0 12 1129 117
2 Suwannee "Precinct 2 - Church of God" 0 6 1333 224
2 Suwannee "Precinct 3 - Presbyterian Church" 0 10 1115 173
2 Suwannee "Precinct 4 - Coliseum" 0 7 1599 203
2 Suwannee "Precinct 5 - Diagnostic Center" 0 8 1000 138
2 Suwannee "Precinct 6 - Luraville" 0 6 1036 122
2 Suwannee "Precinct 7 - Mt. Gilead" 0 7 683 74
2 Suwannee "Precinct 8 - Rocky Sink" 0 12 822 99
2 Suwannee "Precinct 9 - Dowling Park" 0 9 1060 164
2 Taylor "1-1st United Methodist Ch" 0 0 507 180
2 Taylor "10-Lakeside Bapt Church" 0 0 509 61
2 Taylor "11-Kelly Grade Voting House" 0 0 573 41
2 Taylor "12-Perry Shrine Bldg" 0 0 585 213
2 Taylor "13-Jerkins Bldg" 0 0 414 422
2 Taylor "14-Mt Carmel Bapt Church" 0 0 967 96
2 Taylor "2-Big Bend Technical College" 0 0 817 87
2 Taylor "3-Blue Creek Bapt Church" 0 0 760 97
2 Taylor "4-Salem Baptist Church" 0 0 114 14
2 Taylor "5-Steinhatchee Comm Cntr" 0 0 705 99
2 Taylor "6-Shady Gr Missnry Bapt Ch" 0 0 428 64
2 Taylor "7-Johnson Strip Rd Voting" 0 0 1079 96
2 Taylor "8-United Steel Workers Bdg" 0 0 584 117
2 Taylor "9-Forest Capital Hall" 0 0 499 61
2 Wakulla "01 Wakulla Station" 0 0 1751 164
2 Wakulla "02 Crawfordville" 0 0 3870 243
2 Wakulla "03 Sopchoppy" 0 0 870 51
2 Wakulla "04 Smith Creek" 0 0 163 8
2 Wakulla "05 St. Marks" 0 0 265 24
2 Wakulla "06 Medart" 0 0 1117 51
2 Wakulla "07 Ivan" 0 0 2470 169
2 Wakulla "08 Shell Point" 0 0 598 50
2 Wakulla "09 Panacea" 0 0 381 17
2 Wakulla "10 Ochlockonee Bay" 0 0 327 19
2 Wakulla "11 Bethel" 0 0 1120 110
2 Wakulla "12 Shadeville" 0 0 1582 136
2 Washington "AGRICULTURE CENTER - CHIPLEY" 0 0 2457 77
2 Washington "ARMORY - CHIPLEY" 0 0 986 48
2 Washington "CARYVILLE TOWN HALL" 0 0 225 21
2 Washington "EBRO CITY HALL" 0 0 210 46
2 Washington "FIVE POINT COMMUNITY CENTER" 0 0 736 11
2 Washington GREENHEAD 0 0 1598 28
2 Washington "HINSON CROSSROADS FIRE STATION" 0 0 431 10
2 Washington "NEW HOPE-CAMPBELL PARK" 0 0 314 63
2 Washington "ORANGE HILL FIRE STATION" 0 0 1067 36
2 Washington "SUNNY HILLS COMMUNITY CENTER" 0 0 845 38
2 Washington "VERNON CITY HALL" 0 0 1031 50
2 Washington "WAUSAU TOWN HALL" 0 0 719 29
3 Alachua "1-First Baptist Church of Waldo" 0 426 714 0
3 Alachua "10-Micanopy Town Hall" 0 679 601 0
3 Alachua "11-Archer Community Center" 0 1182 1126 0
3 Alachua "12-Parkview Baptist Church" 0 1536 387 0
3 Alachua "13-Mt. Carmel Baptist Church" 0 1533 124 0
3 Alachua "14-Melrose United Methodist" 0 346 651 0
3 Alachua "15-Windsor Baptist Church" 0 279 386 0
3 Alachua "16-BestWestern Gateway Grand Hotel" 0 1156 1094 0
3 Alachua "17-Elks Lodge #990" 0 1692 665 0
3 Alachua "18-Kanapaha Presbyterian Church" 0 1400 1001 0
3 Alachua "19-Springhill Baptist Church" 0 1051 138 0
3 Alachua "2-LaCrosse Town Hall" 0 751 970 0
3 Alachua "20-High Springs Civic Center" 0 1230 1860 0
3 Alachua "21-North Central Florida YMCA" 0 1529 846 0
3 Alachua "22-Northwest Baptist Church" 0 1820 980 0
3 Alachua "23-Precinct 23" 0 1114 377 0
3 Alachua "24-Gainesville Baptist Church" 0 1246 518 0
3 Alachua "25-SFC Blount Center" 0 1503 335 0
3 Alachua "26-Westside Recreation Center" 0 991 369 0
3 Alachua "27-Thelma Boltin Activity Center" 0 2353 370 0
3 Alachua "28-McPherson Recreation Center" 0 2009 224 0
3 Alachua "29-Haile Meeting Hall" 0 1351 1038 0
3 Alachua "3-Legacy Park" 0 1393 2047 0
3 Alachua "30-Greater Bethel A.M.E. Church" 0 1707 283 0
3 Alachua "31-J. Wayne Reitz Union" 0 1200 453 0
3 Alachua "32-LifeSouth Community Blood Centers" 0 1827 763 0
