COUNTY AREA TOTAL DEM REP LIB GRN CON IND ASC
COUNTY AREA TOTAL Clinton Trump Johnson Stein Castle McMullin Skewes
Beaufort "HILTON HEAD 1A" 625 277 313 18 2 5 9 1
Beaufort "HILTON HEAD 1B" 549 271 263 11 1 0 2 1
Beaufort "HILTON HEAD 2A" 732 316 386 21 7 0 2 0
Beaufort "HILTON HEAD 2B" 610 372 205 14 10 2 7 0
Beaufort "HILTON HEAD 2C" 908 254 631 12 6 0 4 1
Beaufort "HILTON HEAD 3" 502 149 327 19 1 1 4 1
Beaufort "HILTON HEAD 4A" 421 127 269 17 1 0 7 0
Beaufort "HILTON HEAD 4B" 688 231 425 23 4 1 4 0
Beaufort "HILTON HEAD 4C" 587 225 333 17 7 1 3 1
Beaufort "HILTON HEAD 4D" 648 227 389 19 2 1 8 2
Beaufort "HILTON HEAD 5A" 631 230 382 10 4 2 3 0
Beaufort "HILTON HEAD 5B" 572 188 356 23 1 0 4 0
Beaufort "HILTON HEAD 5C" 555 179 346 20 3 1 6 0
Beaufort "HILTON HEAD 6" 786 247 485 30 1 4 18 1
Beaufort "HILTON HEAD 7A" 616 208 385 18 3 0 2 0
Beaufort "HILTON HEAD 7B" 662 225 411 17 2 0 7 0
Beaufort "HILTON HEAD 8" 456 168 261 16 6 0 4 1
Beaufort "HILTON HEAD 9A" 841 306 474 34 12 3 11 1
Beaufort "HILTON HEAD 9B" 704 142 535 15 4 0 8 0
Beaufort "HILTON HEAD 10" 899 394 464 25 6 0 10 0
Beaufort "HILTON HEAD 11" 593 216 351 15 2 2 7 0
Beaufort "HILTON HEAD 12" 422 166 240 9 2 0 4 1
Beaufort "HILTON HEAD 13" 615 227 347 26 7 1 6 1
Beaufort "HILTON HEAD 14" 537 175 340 12 4 0 6 0
Beaufort "HILTON HEAD 15A" 336 121 203 8 1 1 2 0
Beaufort "HILTON HEAD 15B" 509 163 330 10 2 0 3 1
Beaufort BELFAIR 1086 292 745 28 8 0 10 3
Beaufort "Bluffton 1A" 719 311 355 28 11 3 9 2
Beaufort "Bluffton 1B" 498 156 315 19 1 1 6 0
Beaufort "Bluffton 1C" 729 216 472 24 8 3 5 1
Beaufort "Bluffton 1D" 641 284 314 28 7 1 6 1
Beaufort "Bluffton 2A" 472 190 261 13 2 0 6 0
Beaufort "Bluffton 2B" 541 211 293 25 7 0 5 0
Beaufort "Bluffton 2C" 1163 333 756 44 7 4 19 0
Beaufort "MOSS CREEK" 979 345 582 31 8 0 11 2
Beaufort "Bluffton 3" 418 103 292 19 2 0 2 0
Beaufort "Bluffton 4A" 407 102 290 9 0 0 5 1
Beaufort "Bluffton 4B" 643 187 431 11 6 1 7 0
Beaufort "Bluffton 4C" 840 314 476 27 10 0 11 2
Beaufort "Bluffton 5A" 558 160 380 16 1 0 1 0
Beaufort "Bluffton 2D" 1173 340 766 33 13 3 17 1
Beaufort "Bluffton 2E" 598 310 251 21 6 0 7 3
Beaufort "ROSE HILL" 1002 255 691 32 5 4 13 2
Beaufort "Bluffton 4D" 627 180 428 17 1 0 1 0
Beaufort "Bluffton 5B" 485 175 285 13 5 0 7 0
Beaufort "SUN CITY 1" 666 196 442 14 2 2 9 1
Beaufort "SUN CITY 2" 443 156 267 11 5 2 2 0
Beaufort "SUN CITY 3" 682 232 434 9 0 1 5 1
Beaufort "SUN CITY 4" 562 196 353 7 4 1 1 0
Beaufort "SUN CITY 5" 556 169 376 5 4 0 1 1
Beaufort "SUN CITY 6" 542 168 352 15 2 1 4 0
Beaufort "SUN CITY 7" 488 157 315 9 1 2 4 0
Beaufort "SUN CITY 8" 650 223 398 11 3 2 11 2
Beaufort Absentee 22072 10889 10499 379 90 27 172 16
Beaufort Emergency 0 0 0 0 0 0 0 0
Beaufort Failsafe 184 101 72 8 2 0 0 1
Beaufort Provisional 202 83 106 7 1 0 4 1
Beaufort "Failsafe Provisional" 56 23 27 4 0 0 2 0
Berkeley Alvin 542 337 200 4 1 0 0 0
Berkeley Bethera 150 13 133 3 0 0 1 0
Berkeley Bonneau 623 222 384 8 3 2 2 2
Berkeley "Bonneau Beach" 853 162 666 13 4 2 5 1
Berkeley Central 1223 471 675 51 8 1 13 4
Berkeley Cainhoy 540 437 94 4 1 1 3 0
Berkeley "Carnes Cross Road 1" 1304 164 1081 35 6 6 10 2
Berkeley "Carnes Cross Road 2" 607 208 356 23 7 3 9 1
Berkeley Cordesville 602 197 382 6 10 3 3 1
Berkeley Cross 523 215 293 8 3 1 2 1
Berkeley "Daniel Island 1" 834 229 568 29 0 0 8 0
Berkeley "Daniel Island 2" 871 346 454 45 4 5 17 0
Berkeley "Devon Forest 1" 1067 384 602 49 14 5 10 3
Berkeley "Devon Forest 2" 844 279 510 33 11 1 9 1
Berkeley Eadytown 372 267 102 2 1 0 0 0
Berkeley "Hanahan 1" 1241 274 884 58 7 5 11 2
Berkeley "Hanahan 2" 709 260 391 29 15 3 11 0
Berkeley "Hanahan 3" 680 181 440 31 12 3 11 2
Berkeley "Hanahan 4" 725 304 356 40 9 5 11 0
Berkeley "Hilton Cross Rd" 744 376 346 10 5 1 5 1
Berkeley Huger 639 396 220 10 5 2 5 1
Berkeley Jamestown 325 186 127 7 4 0 0 1
Berkeley Lebanon 438 69 358 8 0 0 3 0
Berkeley Macedonia 1011 86 896 18 2 0 5 4
Berkeley McBeth 487 158 316 7 2 1 3 0
Berkeley "Moncks Corner 1" 753 273 453 20 2 0 5 0
Berkeley "Moncks Corner 2" 730 312 392 12 4 1 6 3
Berkeley "Moncks Corner 3" 941 437 453 24 5 3 18 1
Berkeley "Moncks Corner 4" 1010 221 749 17 8 2 11 2
Berkeley Pimlico 1567 422 1043 73 4 4 16 5
Berkeley Pinopolis 899 150 727 10 2 4 6 0
Berkeley Russellville 573 464 98 3 3 1 3 1
Berkeley "Sangaree 1" 535 171 326 16 7 3 8 4
Berkeley "Sangaree 2" 779 268 473 22 8 1 5 2
Berkeley "Sangaree 3" 692 227 427 27 7 1 3 0
Berkeley Shulerville 233 98 128 5 2 0 0 0
Berkeley "St. Stephen 1" 674 554 105 8 1 2 3 1
Berkeley "St. Stephen 2" 675 323 333 9 1 0 8 1
Berkeley "Stratford 1" 696 288 364 23 6 2 11 2
Berkeley "Stratford 2" 930 226 656 35 4 0 9 0
Berkeley "Stratford 3" 936 339 539 36 7 2 13 0
Berkeley "Stratford 4" 858 300 498 31 11 5 10 3
Berkeley "Wassamassaw 1" 376 192 171 8 4 0 1 0
Berkeley "Wassamassaw 2" 1265 393 807 40 5 4 14 2
Berkeley "Westview 1" 812 194 568 32 3 6 8 1
Berkeley "Westview 2" 990 308 614 56 3 4 5 0
Berkeley "Westview 3" 812 206 548 25 16 8 8 1
Berkeley "Beverly Hills" 667 312 305 23 13 5 7 2
Berkeley "Howe Hall 1" 980 493 425 36 12 4 8 2
Berkeley "Howe Hall 2" 554 228 272 29 8 5 10 2
Berkeley "Liberty Hall" 1214 529 576 57 15 9 27 1
Berkeley Medway 1700 783 791 70 23 5 24 4
Berkeley "Whitesville 1" 1124 441 621 44 5 1 11 1
Berkeley "Whitesville 2" 693 156 513 11 1 2 9 1
Berkeley "Daniel Island 3" 911 354 491 42 4 1 19 0
Berkeley "Daniel Island 4" 1235 433 703 62 4 0 32 1
Berkeley "The Village" 1237 327 822 59 2 7 19 1
Berkeley "Yellow House" 872 364 455 32 4 3 13 1
Berkeley "Cane Bay" 1987 603 1266 71 7 9 28 3
Berkeley Discovery 866 362 440 37 8 2 16 1
Berkeley "Fox Bank" 999 336 585 43 9 3 21 2
Berkeley "Hanahan 5" 715 146 529 25 5 1 9 0
Berkeley Moultrie 659 516 128 8 2 1 4 0
Berkeley "Old 52" 370 129 223 9 0 3 5 1
Berkeley Royle 680 224 416 18 3 4 12 3
Berkeley "Seventy Eight" 697 272 360 34 10 1 17 3
Berkeley "Stone Lake" 759 210 508 27 1 1 12 0
Berkeley "Stratford 5" 649 295 305 25 8 5 10 1
Berkeley "Westview 4" 805 237 510 31 9 1 16 1
Berkeley "Foster Creek 1" 205 73 115 12 2 0 3 0
Berkeley "Foster Creek 2" 1288 420 766 68 8 4 22 0
Berkeley "Foster Creek 3" 889 336 486 44 5 6 12 0
Berkeley "Harbour Lake" 850 530 273 23 12 1 8 3
Berkeley "St. James" 776 302 425 30 4 0 13 2
Berkeley "Sedgefield 1" 751 314 404 19 5 2 7 0
Berkeley "Sedgefield 2" 476 183 251 25 8 1 8 0
Berkeley Tramway 929 310 557 36 8 2 15 1
Berkeley Weatherstone 804 317 424 36 13 4 9 1
Berkeley Absentee 13347 6179 6723 248 60 29 90 18
Berkeley "Absentee 2" 2481 1164 1221 61 12 5 14 4
Berkeley Emergency 256 87 160 4 0 0 4 1
Berkeley "Emergency 2" 132 42 87 0 1 0 2 0
Berkeley Failsafe 53 24 26 1 2 0 0 0
Berkeley "Failsafe 2" 7 3 2 2 0 0 0 0
Berkeley Provisional 107 44 59 1 2 0 0 1
Berkeley "Provisional 2" 30 15 14 1 0 0 0 0
Berkeley "Failsafe Provisional" 73 25 44 3 1 0 0 0
Calhoun BETHEL 520 128 378 9 3 1 1 0
Calhoun CAMERON 416 190 202 11 3 2 7 1
Calhoun "CENTER HILL" 606 306 281 12 4 0 2 1
Calhoun CRESTON 128 46 78 1 0 2 1 0
Calhoun DIXIE 879 639 219 12 0 3 6 0
Calhoun "FALL BRANCH" 300 121 172 2 4 0 1 0
Calhoun "FORT MOTTE" 161 84 74 3 0 0 0 0
Calhoun "LONE STAR" 526 219 299 4 0 0 4 0
Calhoun MIDWAY 206 46 157 1 0 1 0 1
Calhoun "MURPH MILL" 233 117 110 3 0 2 1 0
