COUNTY AREA TOTAL DEM REP CON IND LIB REF
COUNTY AREA TOTAL Clinton Trump Castle Other Johnson DeLaFuente
Clark 3709 0 751 668 7 29 60 3
Clark 3710 0 79 107 2 5 5 0
Clark 3711 0 55 138 2 8 9 0
Clark 3712 0 1 1 1 1 1 1
Clark 3713 0 12 17 0 2 2 0
Clark 3715 0 52 124 0 3 6 0
Clark 3716 0 208 316 3 15 23 0
Clark 3717 0 135 330 1 5 14 1
Clark 3718 0 190 533 2 15 17 0
Clark 3719 0 545 516 8 28 38 2
Clark 3720 0 311 224 1 22 14 2
Clark 3721 0 373 428 3 23 27 2
Clark 3722 0 303 246 2 14 19 1
Clark 3723 0 259 342 2 12 21 1
Clark 3724 0 443 348 5 19 32 2
Clark 3725 0 1 1 1 1 1 1
Clark 3726 0 622 527 3 36 41 2
Clark 3727 0 508 666 3 28 25 1
Clark 3728 0 494 643 4 24 13 1
Clark 3729 0 352 376 2 17 24 0
Clark 3730 0 562 576 10 25 54 2
Clark 3731 0 1 1 1 1 1 1
Clark 3732 0 374 219 2 8 30 0
Clark 3733 0 420 362 6 25 25 3
Clark 3734 0 513 588 2 28 34 0
Clark 3735 0 20 25 0 2 1 0
Clark 3736 0 5 27 0 2 0 0
Clark 3737 0 0 0 0 0 0 0
Clark 3738 0 111 96 0 5 5 0
Clark 3739 0 444 402 3 15 20 0
Clark 3740 0 294 323 0 12 8 0
Clark 3741 0 149 244 4 12 9 1
Clark 3742 0 575 294 7 8 31 5
Clark 3743 0 497 409 4 30 34 3
Clark 3744 0 1 1 1 1 1 1
Clark 3745 0 0 0 0 0 0 0
Clark 3746 0 520 664 2 20 38 1
Clark 3747 0 393 325 2 12 21 1
Clark 3748 0 496 478 2 22 22 2
Clark 3749 0 583 492 14 31 20 1
Clark 3750 0 0 0 0 0 0 0
Clark 3751 0 419 139 1 18 25 3
Clark 3752 0 569 208 2 17 31 5
Clark 3753 0 1 1 1 1 1 1
Clark 3754 0 835 420 10 31 41 0
Clark 3755 0 397 259 2 16 33 2
Clark 3756 0 124 304 4 11 14 1
Clark 3757 0 210 457 4 21 16 1
Clark 3758 0 272 612 2 21 33 0
Clark 3759 0 499 612 8 26 32 2
Clark 3760 0 585 412 6 29 44 1
Clark 3761 0 416 274 4 16 14 3
Clark 3762 0 425 275 5 21 34 2
Clark 3763 0 0 0 0 0 0 0
Clark 3764 0 642 365 2 25 34 2
Clark 3765 0 678 404 9 25 30 1
Clark 3766 0 259 315 2 18 11 1
Clark 3767 0 4 30 0 1 0 0
Clark 3768 0 423 329 0 14 21 3
Clark 3769 0 403 347 4 19 22 2
Clark 3770 0 525 309 6 16 33 4
Clark 3771 0 355 265 2 18 17 0
Clark 3772 0 501 324 3 21 20 1
