COUNTY AREA TOTAL DEM REP Castle Stein Vacek Johnson Kahn DeLaFuente McMullin LaRiva Writein
COUNTY AREA TOTAL Clinton Trump Castle Stein Vacek Johnson Kahn DeLaFuente McMullin LaRiva Writein
Cedar "Cedar-WEST BRANCH 1 Total" 0 662 458 1 11 1 55 0 0 2 0 14
"Cerro Gordo" "Clear Lake / Grant / Union Twps" 0 398 832 2 1 0 33 3 1 7 0 13
"Cerro Gordo" "Clear Lake Ward 1" 0 533 863 1 8 0 48 1 0 10 0 13
"Cerro Gordo" "Clear Lake Ward 2" 0 626 868 1 7 0 57 1 0 16 0 17
"Cerro Gordo" "Clear Lake Ward 3" 0 483 766 2 6 2 64 2 2 5 0 13
"Cerro Gordo" "Falls Twp - Plymouth" 0 136 197 1 2 0 12 1 0 1 0 2
"Cerro Gordo" "Falls Twp - Rock Falls" 0 80 122 0 1 0 7 0 0 0 0 2
"Cerro Gordo" "Geneseo Twp Pct" 0 258 360 0 3 0 24 0 0 4 0 2
"Cerro Gordo" "Grimes Twp - Meservey Pct" 0 38 96 0 0 0 4 0 0 0 0 1
"Cerro Gordo" "Grimes Twp - Thornton Pct" 0 78 162 1 2 1 5 1 0 4 0 4
"Cerro Gordo" "Lake / Lincoln Twps" 0 104 200 3 3 0 14 0 0 2 0 0
"Cerro Gordo" "Lime Creek / Mason North Twps Pct" 0 117 203 0 0 0 12 0 0 1 0 3
"Cerro Gordo" "Mason City W-1 P-1" 0 489 300 1 3 2 24 2 0 5 0 15
"Cerro Gordo" "Mason City W-1 P-2" 0 544 577 1 4 1 54 5 0 3 0 27
"Cerro Gordo" "Mason City W-1 P-3" 0 596 657 2 4 0 28 2 3 9 0 15
"Cerro Gordo" "Mason City W-2 P-1" 0 400 289 1 4 1 46 3 0 5 0 14
"Cerro Gordo" "Mason City W-2 P-2" 0 719 750 4 11 0 60 2 0 9 0 15
"Cerro Gordo" "Mason City W-2 P-3" 0 475 379 1 7 1 44 2 0 4 0 15
"Cerro Gordo" "Mason City W-3 P-1" 0 588 437 0 12 3 37 2 1 11 0 14
"Cerro Gordo" "Mason City W-3 P-2" 0 476 447 1 12 4 54 4 1 7 0 8
"Cerro Gordo" "Mason City W-3 P-3" 0 797 839 2 11 0 64 2 0 17 0 13
"Cerro Gordo" "Mason City W-4 P-1" 0 428 308 0 13 3 36 1 0 4 0 17
"Cerro Gordo" "Mason City W-4 P-2" 0 490 545 1 8 2 34 3 0 6 0 16
"Cerro Gordo" "Mason City W-4 P-3" 0 634 633 1 7 0 46 3 0 11 1 12
"Cerro Gordo" "Mason South / Bath Twps Pct" 0 107 240 0 0 0 14 2 0 2 0 0
"Cerro Gordo" "Mt Vernon / Pleasant Valley Twps Pct" 0 110 244 0 0 1 9 0 0 2 1 1
"Cerro Gordo" "Cerro Gordo-Portland / Owen / Dougherty Twps Total" 0 158 307 0 1 0 21 1 0 0 0 4
Cherokee "#1 Aurelia" 0 248 648 3 4 0 40 2 1 3 0 13
Cherokee "#2 Cleghorn" 0 296 951 6 2 0 28 1 0 16 0 14
Cherokee "#3 Quimby" 0 172 578 2 5 0 27 1 0 2 0 4
Cherokee "#4 Cherokee" 0 161 548 1 2 0 21 2 0 3 0 4
Cherokee "#5 Cherokee Ward 1" 0 297 555 10 4 3 36 0 0 7 0 14
Cherokee "#6 Cherokee Ward 2" 0 212 420 3 6 4 33 1 0 2 0 7
Cherokee "Cherokee-#7 Cherokee Ward 3 Total" 0 293 492 4 6 0 21 2 0 8 0 9
Chickasaw BRADFORD 0 413 685 4 10 2 38 3 0 12 2 9
Chickasaw CHICKASAW 0 80 135 2 5 0 8 0 0 1 0 2
Chickasaw "City of New Hampton - Ward Four" 0 224 285 1 2 1 18 1 0 3 0 3
Chickasaw "City of New Hampton - Ward One" 0 206 207 4 3 0 9 1 0 3 1 4
Chickasaw "City of New Hampton - Ward Three" 0 238 251 4 5 0 21 1 0 2 0 9
Chickasaw "City of New Hampton - Ward Two" 0 166 212 3 4 1 19 1 0 0 0 5
Chickasaw "DAYTON - RICHLAND" 0 97 253 4 3 0 12 0 0 2 0 7
Chickasaw "DEERFIELD - WASHINGTON 2" 0 129 243 3 2 0 16 1 0 0 0 6
Chickasaw "DRESDEN - FREDERICKSBURG" 0 262 558 3 5 0 45 0 0 1 0 8
Chickasaw "JACKSONVILLE - UTICA" 0 106 251 1 2 1 9 0 1 0 0 5
Chickasaw "NEW HAMPTON RURAL" 0 113 266 1 2 0 18 0 0 0 0 2
Chickasaw STAPLETON 0 160 267 3 4 0 14 2 0 4 0 3
Chickasaw "Chickasaw-WASHINGTON 1 Total" 0 72 129 0 1 0 9 0 0 0 0 0
Clarke "MIDDLE PRECINCT" 0 155 411 1 2 1 25 1 0 1 0 5
Clarke "MURRAY PRECINCT" 0 188 433 4 7 0 29 4 0 2 0 5
Clarke "NORTH EAST PRECINCT" 0 255 573 3 2 0 34 1 0 4 0 10
Clarke "OSCEOLA 1ST WARD PRECINCT" 0 226 371 8 3 2 24 1 0 6 0 7
Clarke "OSCEOLA 2ND WARD PRECINCT" 0 239 253 6 2 0 20 2 0 3 0 3
Clarke "OSCEOLA 3RD WARD PRECINCT" 0 302 451 4 2 1 25 0 0 3 0 9
Clarke "Clarke-WOODBURN PRECINCT Total" 0 100 221 0 0 0 3 0 0 1 0 0
Clay Douglas/Peterson 0 80 306 1 1 0 11 2 0 4 0 3
Clay Garfield/Herdland 0 55 187 0 1 0 5 0 0 0 0 0
Clay Lake/Freeman 0 83 204 1 1 0 9 0 0 3 0 0
Clay Lincoln/Clay 0 96 351 1 0 0 13 0 0 3 1 2
Clay "Logan/Gillett Grove" 0 52 197 2 1 0 11 2 0 1 0 5
Clay "Spencer Ward 1" 0 281 563 1 7 2 30 3 0 5 0 13
Clay "Spencer Ward 2" 0 328 618 5 4 2 49 1 0 5 0 9
Clay "Spencer Ward 3" 0 304 678 7 5 1 51 2 2 7 0 10
Clay "Spencer Ward 4" 0 341 956 2 6 0 31 0 0 13 0 9
Clay "Spencer Ward 5" 0 351 811 3 5 0 32 2 0 7 0 4
Clay Summit/Riverton/Sioux/Meadow 0 179 610 2 1 1 31 1 0 6 0 4
Clay "Clay-Waterford/Lone Tree Total" 0 99 396 0 3 0 15 0 0 4 0 4
Clayton BOARDMAN-HIGHLAND 0 507 544 1 8 3 62 5 1 4 0 12
Clayton "BUENA VISTA" 0 77 79 1 0 0 4 0 0 0 0 0
Clayton CASS 0 308 500 2 6 1 21 1 1 9 0 5
Clayton CLAYTON-GARNAVILLO 0 195 444 3 0 4 24 4 0 3 1 5
Clayton "COX CREEK-SPERRY" 0 138 293 2 1 1 22 2 0 2 0 3
Clayton ELK-MALLORY-VOLGA 0 157 349 0 4 2 14 2 0 1 0 2
Clayton FARMERSBURG-WAGNER 0 176 281 3 5 2 11 1 0 5 0 3
Clayton GIARD-LUANA-MONONA 0 374 800 0 6 1 55 4 1 8 0 10
Clayton "GRAND MEADOW" 0 80 156 0 1 1 3 0 0 1 0 1
Clayton JEFFERSON-MILLVILLE 0 599 961 2 10 5 67 5 0 7 0 17
Clayton LODOMILLO 0 90 221 1 3 0 11 1 0 2 0 5
Clayton MARION 0 45 119 0 0 1 4 0 0 3 0 0
Clayton MENDON 0 434 480 1 6 2 28 3 0 2 0 3
Clayton "Clayton-READ Total" 0 57 90 0 1 0 8 2 0 0 0 4
Clinton "BLOOMFIELD BROOKFIELD DELMAR" 0 222 350 7 3 1 17 2 0 1 0 1
Clinton "CAMANCHE 1" 0 577 590 11 3 4 54 5 0 8 0 9
Clinton "CAMANCHE 2" 0 527 556 1 7 2 28 1 0 7 0 9
Clinton "CENTER TWP" 0 85 224 2 3 2 9 0 0 4 0 9
Clinton "CLINTON 1-1" 0 517 320 6 15 11 33 4 0 5 1 20
Clinton "CLINTON 1-2" 0 646 523 10 15 9 52 5 1 4 0 16
Clinton "CLINTON 2-1" 0 562 359 6 15 7 42 2 0 1 2 18
Clinton "CLINTON 2-2" 0 817 737 3 18 7 49 4 1 9 0 22
Clinton "CLINTON 3-1" 0 750 527 6 13 8 29 3 0 15 0 24
Clinton "CLINTON 3-2" 0 899 680 7 8 5 56 2 0 11 1 10
Clinton "CLINTON 4-1" 0 777 719 4 16 7 43 4 1 10 0 25
Clinton "CLINTON 4-2" 0 699 683 4 9 5 49 2 0 7 0 22
