DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
2 Harris 2010669 0 1007 1735 41 0 0
2 Harris 2010670 0 601 2058 21 0 0
2 Harris 2010671 0 1123 1159 56 0 0
2 Harris 2010674 0 1056 2460 41 0 0
2 Harris 2010684 0 1233 1877 54 0 0
2 Harris 2010687 0 811 1440 24 0 0
2 Harris 2010689 0 844 818 28 0 0
2 Harris 2010694 0 1046 702 40 0 0
2 Harris 2010700 0 169 998 13 0 0
2 Harris 2010701 0 179 158 11 0 0
2 Harris 2010707 0 254 353 8 0 0
2 Harris 2010710 0 970 1009 16 0 0
2 Harris 2010730 0 748 1139 24 0 0
2 Harris 2010758 0 885 2719 30 0 0
2 Harris 2010759 0 919 1146 35 0 0
2 Harris 2010760a 0 0 0 0 0 0
2 Harris 2010760b 0 332 1359 4 0 0
2 Harris 2010761 0 469 1006 18 0 0
2 Harris 2010764a 0 636 879 24 0 0
2 Harris 2010764b 0 945 1310 29 0 0
2 Harris 2010771 0 505 398 21 0 0
2 Harris 2010776 0 971 1174 48 0 0
2 Harris 2010802 0 11 3 0 0 0
2 Harris 2010809 0 15 31 0 0 0
2 Harris 2010823 0 978 1175 52 0 0
2 Harris 2010841 0 1780 690 51 0 0
2 Harris 2010853 0 675 1679 27 0 0
2 Harris 2010874 0 725 1736 30 0 0
2 Harris 2010876 0 1380 2680 48 0 0
2 Harris 2010880 0 636 1655 25 0 0
2 Harris 2010885 0 1075 1372 33 0 0
2 Harris 2010888 0 1070 543 29 0 0
2 Harris 2010895 0 447 266 12 0 0
2 Harris 2010896 0 938 472 13 0 0
2 Harris 2010902 0 1280 1299 46 0 0
2 Harris 2010904 0 2 1 0 0 0
2 Harris 2010906 0 10 19 0 0 0
2 Harris 2010911 0 123 221 12 0 0
2 Harris 2010922 0 0 0 0 0 0
2 Harris 2010939 0 1 0 0 0 0
2 Harris 2010942 0 45 105 1 0 0
2 Harris 2010964 0 2030 2254 51 0 0
2 Harris 2010967 0 88 30 0 0 0
2 Harris 2010968 0 1377 403 33 0 0
2 Harris 2010971 0 0 0 0 0 0
2 Harris 2010973 0 340 530 9 0 0
2 Harris 2010979 0 0 0 0 0 0
2 Harris 2010983 0 83 52 5 0 0
2 Harris 2011003 0 1 0 0 0 0
3 Collin 0850001 0 800 1046 44 0 0
3 Collin 0850002 0 1280 1394 98 0 0
3 Collin 0850003 0 889 382 41 0 0
3 Collin 0850004 0 510 1277 34 0 0
3 Collin 0850005 0 222 491 23 0 0
3 Collin 0850006 0 574 499 18 0 0
3 Collin 0850007 0 524 560 28 0 0
3 Collin 0850008 0 434 1340 44 0 0
3 Collin 0850009 0 806 1287 66 0 0
3 Collin 0850010 0 82 449 9 0 0
3 Collin 0850012 0 515 1027 33 0 0
3 Collin 0850014 0 1234 1022 36 0 0
3 Collin 0850015 0 554 545 27 0 0
3 Collin 0850016 0 890 1928 71 0 0
3 Collin 0850019 0 493 757 30 0 0
3 Collin 0850021 0 1464 1678 74 0 0
3 Collin 0850023 0 1224 531 44 0 0
3 Collin 0850024 0 1008 521 40 0 0
3 Collin 0850025 0 1934 2093 78 0 0
3 Collin 0850026 0 658 638 41 0 0
3 Collin 0850028 0 902 957 45 0 0
3 Collin 0850030 0 1248 2024 94 0 0
3 Collin 0850031 0 648 1009 41 0 0
3 Collin 0850032 0 768 1136 35 0 0
3 Collin 0850034 0 1730 1541 42 0 0
3 Collin 0850036 0 562 1016 14 0 0
3 Collin 0850038 0 1881 2119 94 0 0
3 Collin 0850039 0 1081 937 68 0 0
3 Collin 0850040 0 917 1685 62 0 0
3 Collin 0850041 0 1090 2604 78 0 0
3 Collin 0850043 0 1140 1076 62 0 0
3 Collin 0850044 0 446 491 30 0 0
3 Collin 0850045 0 773 1449 43 0 0
3 Collin 0850046 0 999 777 53 0 0
3 Collin 0850047 0 865 958 42 0 0
3 Collin 0850048 0 1339 1396 74 0 0
3 Collin 0850049 0 663 1081 32 0 0
3 Collin 0850050 0 1252 697 45 0 0
3 Collin 0850051 0 607 385 27 0 0
3 Collin 0850052 0 1753 1018 66 0 0
3 Collin 0850053 0 698 1030 40 0 0
3 Collin 0850054 0 1290 887 72 0 0
3 Collin 0850055 0 1354 971 63 0 0
3 Collin 0850057 0 1361 1940 90 0 0
3 Collin 0850058 0 1277 1267 62 0 0
3 Collin 0850059 0 1056 1708 73 0 0
3 Collin 0850060 0 651 1482 40 0 0
3 Collin 0850061 0 479 762 25 0 0
3 Collin 0850062 0 905 889 51 0 0
3 Collin 0850063 0 616 970 33 0 0
3 Collin 0850064 0 962 996 48 0 0
3 Collin 0850065 0 399 478 21 0 0
3 Collin 0850066 0 724 803 39 0 0
3 Collin 0850067 0 908 993 49 0 0
3 Collin 0850068 0 626 644 38 0 0
3 Collin 0850069 0 1282 1610 53 0 0
3 Collin 0850070 0 574 859 37 0 0
3 Collin 0850071 0 642 715 27 0 0
3 Collin 0850072 0 465 682 24 0 0
3 Collin 0850073 0 793 520 37 0 0
3 Collin 0850074 0 602 741 41 0 0
3 Collin 0850075 0 634 998 25 0 0
3 Collin 0850076 0 1039 1428 50 0 0
3 Collin 0850077 0 1372 1157 52 0 0
3 Collin 0850078 0 1756 1334 73 0 0
3 Collin 0850079 0 842 921 33 0 0
3 Collin 0850080 0 1173 1368 61 0 0
3 Collin 0850081 0 996 1023 48 0 0
3 Collin 0850082 0 877 944 45 0 0
3 Collin 0850084 0 767 976 31 0 0
3 Collin 0850085 0 1157 1070 59 0 0
3 Collin 0850086 0 950 1197 38 0 0
3 Collin 0850087 0 2181 2191 62 0 0
3 Collin 0850088 0 926 345 37 0 0
3 Collin 0850089 0 1150 1292 27 0 0
3 Collin 0850090 0 837 1670 28 0 0
3 Collin 0850091 0 811 906 40 0 0
3 Collin 0850092 0 1186 1199 49 0 0
3 Collin 0850094 0 1615 1515 45 0 0
3 Collin 0850095 0 1067 1150 53 0 0
3 Collin 0850096 0 361 376 29 0 0
3 Collin 0850097 0 256 804 15 0 0
3 Collin 0850098 0 318 569 16 0 0
3 Collin 0850099 0 97 71 6 0 0
3 Collin 0850100 0 5 6 1 0 0
3 Collin 0850101 0 1210 1548 60 0 0
3 Collin 0850102 0 622 1366 36 0 0
3 Collin 0850103 0 434 377 27 0 0
3 Collin 0850104 0 1060 469 45 0 0
3 Collin 0850105 0 364 486 12 0 0
3 Collin 0850106 0 580 756 31 0 0
3 Collin 0850107 0 1224 1307 35 0 0
3 Collin 0850108 0 1139 1013 44 0 0
3 Collin 0850109 0 1277 1717 42 0 0
3 Collin 0850110 0 924 1097 42 0 0
3 Collin 0850111 0 1477 2432 74 0 0
3 Collin 0850112 0 1079 1271 25 0 0
3 Collin 0850113 0 986 1128 75 0 0
3 Collin 0850114 0 289 830 22 0 0
3 Collin 0850115 0 1084 1122 40 0 0
3 Collin 0850116 0 1581 2105 62 0 0
3 Collin 0850117 0 1397 1567 67 0 0
3 Collin 0850118 0 1196 1927 66 0 0
3 Collin 0850119 0 1774 2266 67 0 0
3 Collin 0850120 0 1036 1700 41 0 0
3 Collin 0850121 0 1260 845 29 0 0
3 Collin 0850122 0 1158 2689 71 0 0
3 Collin 0850123 0 610 841 25 0 0
3 Collin 0850124 0 1104 1124 30 0 0
3 Collin 0850125 0 1953 1701 64 0 0
3 Collin 0850126 0 1480 1808 72 0 0
3 Collin 0850127 0 1189 1426 54 0 0
3 Collin 0850128 0 900 2982 73 0 0
3 Collin 0850129 0 1320 1679 72 0 0
3 Collin 0850130 0 1379 1423 52 0 0
3 Collin 0850131 0 724 1455 40 0 0
3 Collin 0850132 0 1103 984 46 0 0
3 Collin 0850134a 0 2020 2118 85 0 0
3 Collin 0850134b 0 6 6 0 0 0
3 Collin 0850134c 0 0 0 0 0 0
3 Collin 0850135 0 1482 1462 55 0 0
3 Collin 0850136 0 608 814 28 0 0
3 Collin 0850137 0 588 889 18 0 0
3 Collin 0850138 0 304 692 19 0 0
3 Collin 0850139 0 1614 1365 65 0 0
3 Collin 0850140 0 1011 2436 73 0 0
3 Collin 0850141 0 1210 1262 48 0 0
3 Collin 0850142 0 1104 1111 45 0 0
3 Collin 0850143 0 643 972 22 0 0
3 Collin 0850144 0 869 1195 33 0 0
3 Collin 0850145 0 643 571 26 0 0
3 Collin 0850146 0 1576 1773 92 0 0
3 Collin 0850147 0 663 753 32 0 0
3 Collin 0850148 0 0 0 0 0 0
3 Collin 0850149 0 1218 1936 69 0 0
3 Collin 0850150 0 453 848 23 0 0
3 Collin 0850151 0 636 587 21 0 0
3 Collin 0850152 0 85 30 1 0 0
3 Collin 0850155 0 860 1224 46 0 0
3 Collin 0850156 0 1044 1463 72 0 0
3 Collin 0850157 0 1402 1590 45 0 0
3 Collin 0850158 0 1107 936 28 0 0
3 Collin 0850163 0 1763 1971 81 0 0
3 Collin 0850164 0 531 837 8 0 0
3 Collin 0850165 0 228 475 17 0 0
3 Collin 0850166 0 1349 1564 43 0 0
3 Collin 0850167 0 1976 1625 59 0 0
3 Collin 0850168 0 412 1007 38 0 0
3 Collin 0850169 0 1118 1196 47 0 0
3 Collin 0850171 0 1808 2326 72 0 0
3 Collin 0850172 0 854 1876 68 0 0
