COUNTY AREA TOTAL DEM REP LMN GRN Writein
COUNTY AREA TOTAL Klobuchar Newberger Schuller Overby Writein
"Blue Earth" "Mankato W-2 P-15" 2618 1754 719 112 33 0
"Blue Earth" "Mankato W-2 P-16" 1344 788 506 39 11 0
"Blue Earth" "Mankato W-2 P-17" 204 123 66 13 2 0
"Blue Earth" "Mankato Twp P-1" 126 56 69 1 0 0
"Blue Earth" "Mankato Twp P-2" 867 490 364 7 6 0
"Blue Earth" Mapleton 699 374 294 25 6 0
"Blue Earth" "Mapleton Twp" 147 80 62 4 1 0
"Blue Earth" "Medo Twp" 150 55 92 0 3 0
"Blue Earth" "Minnesota Lake" 2 0 2 0 0 0
"Blue Earth" "North Mankato" 2 1 1 0 0 0
"Blue Earth" Pemberton 78 38 36 3 1 0
"Blue Earth" "Pleasant Mound Twp" 101 34 61 5 1 0
"Blue Earth" "Rapidan Twp" 611 306 285 14 6 0
"Blue Earth" "Saint Clair" 365 202 152 7 3 1
"Blue Earth" "Shelby Twp" 140 70 65 3 2 0
"Blue Earth" Skyline 182 123 54 2 2 1
"Blue Earth" "South Bend Twp" 635 335 273 18 7 2
"Blue Earth" "Sterling Twp" 126 56 67 3 0 0
"Blue Earth" "Vernon Center" 111 46 60 2 3 0
"Blue Earth" "Vernon Center Twp" 116 63 48 5 0 0
Brown "Albin Twp" 155 47 106 1 1 0
Brown "Bashaw Twp" 122 44 75 3 0 0
Brown "Burnstown Twp" 130 55 72 2 1 0
Brown Cobden 12 5 4 3 0 0
Brown Comfrey 168 86 75 5 2 0
Brown "Cottonwood Twp" 457 197 243 16 1 0
Brown "Eden Twp" 119 32 84 1 2 0
Brown Evan 31 14 16 1 0 0
Brown Hanska 166 94 54 16 2 0
Brown "Home Twp" 259 74 179 5 0 1
Brown "Lake Hanska Twp" 146 69 76 1 0 0
Brown "Leavenworth Twp" 143 58 84 0 1 0
Brown "Linden Twp" 142 66 71 4 1 0
Brown "Milford Twp" 404 167 231 3 3 0
Brown "Mulligan Twp" 98 49 47 1 1 0
Brown "New Ulm W-1 P-1" 619 331 258 19 11 0
Brown "New Ulm W-1 P-2" 833 466 332 26 8 1
Brown "New Ulm W-2 P-1" 748 423 294 19 12 0
Brown "New Ulm W-2 P-2" 621 314 273 23 11 0
Brown "New Ulm W-3 P-1" 1119 612 477 21 9 0
Brown "New Ulm W-3 P-2" 739 402 303 26 8 0
Brown "New Ulm W-4 P-1" 873 419 423 21 10 0
Brown "New Ulm W-4 P-2" 839 408 408 16 3 4
Brown "North Star Twp" 128 46 82 0 0 0
Brown "Prairieville Twp" 136 28 107 1 0 0
Brown "Sigel Twp" 202 96 103 3 0 0
Brown "Sleepy Eye W-1" 519 226 272 19 2 0
Brown "Sleepy Eye W-2" 817 329 467 16 5 0
Brown "Springfield W-1" 414 190 214 8 2 0
Brown "Springfield W-2" 430 200 216 12 2 0
Brown "Stark Twp" 160 44 112 0 4 0
Brown "Stately Twp" 82 23 58 1 0 0
Carlton "Atkinson Twp" 215 116 97 2 0 0
Carlton "Automba Twp" 68 38 28 1 1 0
Carlton Barnum 167 102 57 7 1 0
Carlton "Barnum Twp" 600 359 229 11 1 0
Carlton "Beseman Twp" 56 30 25 1 0 0
Carlton "Blackhoof Twp" 516 307 198 5 5 1
Carlton Carlton 448 328 105 15 0 0
Carlton "Cloquet W-1" 1204 774 408 19 3 0
Carlton "Cloquet W-2" 874 572 260 31 11 0
Carlton "Cloquet W-3" 967 627 295 36 9 0
Carlton "Cloquet W-4" 1078 717 314 34 13 0
Carlton "Cloquet W-5 P-1" 988 651 314 17 6 0
Carlton "Cloquet W-5 P-2" 244 188 23 26 7 0
Carlton "Clear Creek Unorg" 71 41 29 1 0 0
Carlton "Corona Unorg" 60 37 21 2 0 0
Carlton Cromwell 93 58 28 7 0 0
Carlton "Eagle Twp" 300 168 127 3 2 0
Carlton "Holyoke Twp" 115 57 54 4 0 0
Carlton "Kalevala Twp" 138 66 69 3 0 0
Carlton "Kettle River" 77 49 19 8 1 0
Carlton "Lakeview Twp" 109 67 42 0 0 0
Carlton "Mahtowa Twp" 351 206 137 3 5 0
Carlton "Moose Lake" 643 413 204 20 6 0
Carlton "Moose Lake Twp" 495 276 200 11 8 0
Carlton "Progress Unorg" 9 8 0 0 1 0
Carlton "Perch Lake Twp" 480 321 138 17 4 0
Carlton "Red Clover Unorg" 144 75 68 1 0 0
Carlton "Sawyer Unorg" 163 85 67 11 0 0
Carlton Scanlon 496 346 130 19 1 0
Carlton "Silver Brook Twp" 350 181 155 13 1 0
Carlton "Silver Twp" 219 120 87 7 5 0
Carlton "Skelton Twp" 201 121 76 1 3 0
Carlton "Split Rock Twp" 74 43 28 1 2 0
Carlton "Thomson Twp" 2720 1638 1035 28 18 1
