COUNTY AREA TOTAL DEM REP LIB GRN WI1 WI2 WI3 WI4 WI5 WI6
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins Boddie Carroll Hoefling Hunter Simmons Wells
Athens "LODI TOWNSHIP" 809 360 431 9 1 0 0 0 0 0 0
Athens "ROME TOWNSHIP" 634 268 351 8 4 0 0 0 0 0 0
Athens JACKSONVILLE 201 96 100 1 0 0 0 0 0 0 0
Athens "TRIMBLE TOWNSHIP" 813 310 480 6 3 0 0 0 0 0 0
Athens "TRIMBLE VILLAGE" 124 49 73 0 0 0 0 0 0 0 0
Athens "GLOUSTER VILLAGE" 619 270 326 4 6 0 0 0 0 0 0
Athens "COOLVILLE VILLAGE" 242 56 179 1 1 0 0 0 0 0 0
Athens "TROY EAST" 611 146 450 6 1 0 0 0 0 0 0
Athens "TROY WEST" 436 75 349 6 1 0 0 0 0 0 0
Athens "NEW MARSHFIELD" 570 273 285 6 1 0 0 0 0 0 0
Athens WATERLOO 628 253 356 5 2 0 0 0 0 0 0
Athens "BUCHTEL VLG" 254 119 129 3 0 0 0 0 0 0 0
Athens "YORK TOWNSHIP" 874 336 523 4 2 0 0 0 0 0 0
Athens "ATHENS 2-5" 13 7 6 0 0 0 0 0 0 0 0
Athens "ATHENS 4-5" 93 76 14 2 1 0 0 0 0 0 0
Auglaize "ST. MARYS 1A" 721 133 570 13 0 0 0 0 0 0 0
Auglaize "ST. MARYS 1B" 417 89 318 5 3 0 0 0 0 0 0
Auglaize "ST. MARYS 2A" 530 130 391 5 1 0 0 0 0 0 0
Auglaize "ST. MARYS 2B" 880 199 672 3 0 0 0 0 0 0 0
Auglaize "ST. MARYS 3A" 843 166 650 15 4 0 0 0 0 0 0
Auglaize "ST. MARYS 4A" 635 145 476 11 3 0 0 0 0 0 0
Auglaize "WAPAKONETA 1A" 927 207 701 12 3 0 0 0 0 0 0
Auglaize "WAPAKONETA 1B" 815 184 618 8 1 0 0 0 0 0 0
Auglaize "WAPAKONETA 2A" 473 135 325 7 2 0 0 0 0 0 0
Auglaize "WAPAKONETA 2B" 613 138 468 2 1 0 0 0 0 0 0
Auglaize "WAPAKONETA 3A" 408 92 312 2 2 0 0 0 0 0 0
Auglaize "WAPAKONETA 3B" 461 88 361 7 1 0 0 0 0 0 0
Auglaize "WAPAKONETA 4A" 385 99 268 10 2 0 0 0 0 0 0
Auglaize "WAPAKONETA 4B" 810 179 623 4 1 0 0 0 0 0 0
Auglaize CLAY 457 58 395 2 1 0 0 0 0 0 0
Auglaize "DUCHOUQUET E" 1001 147 836 9 3 0 0 0 0 0 0
Auglaize "DUCHOUQUET W" 768 153 594 13 3 0 0 0 0 0 0
Auglaize "CRIDERSVILLE E" 348 63 277 5 0 0 0 0 0 0 0
Auglaize GERMAN 521 65 446 7 1 0 0 0 0 0 0
Auglaize "NEW BREMEN E" 1195 217 960 8 3 0 0 0 0 0 0
Auglaize "NEW BREMEN W" 699 131 553 10 0 0 0 0 0 0 0
Auglaize GOSHEN 288 32 250 2 2 0 0 0 0 0 0
Auglaize JACKSON 563 53 503 4 0 0 0 0 0 0 0
Auglaize "MINSTER N" 1030 176 838 8 1 0 0 0 0 0 0
Auglaize "MINSTER S" 859 147 697 10 1 0 0 0 0 0 0
Auglaize BUCKLAND 117 22 94 1 0 0 0 0 0 0 0
Auglaize LOGAN 585 69 502 5 2 0 0 0 0 0 0
Auglaize MOULTON 1081 147 915 11 2 0 0 0 0 0 0
Auglaize NOBLE 766 106 649 1 3 0 0 0 0 0 0
Auglaize PUSHETA 799 100 690 5 2 0 0 0 0 0 0
Auglaize "ST. MARYS E" 946 159 760 10 5 0 0 0 0 0 0
Auglaize "ST. MARYS W" 1010 248 740 10 1 0 0 0 0 0 0
Auglaize SALEM 277 31 241 0 1 0 0 0 0 0 0
Auglaize UNION 1108 162 928 10 2 0 0 0 0 0 0
Auglaize "NEW KNOXVILLE" 533 73 450 8 0 0 0 0 0 0 0
Auglaize WASHINGTON 658 50 595 7 0 0 0 0 0 0 0
Auglaize WAYNE 480 44 431 3 1 0 0 0 0 0 0
Auglaize WAYNESFIELD 368 75 288 2 2 0 0 0 0 0 0
Auglaize "CRIDERSVILLE W" 565 139 413 5 4 0 0 0 0 0 0
Belmont "BELLAIRE VILLAGE 1" 603 191 403 5 1 0 0 0 0 0 0
Belmont "BELLAIRE VILLAGE 2" 431 157 268 2 0 0 0 0 0 0 0
Belmont "BELLAIRE VILLAGE 3" 401 161 233 3 1 0 0 0 0 0 0
