DIST COUNTY AREA TOTAL DEM REP LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Lib Other
9 Leon 4125 0 1999 1886 0 176
9 Leon 4152 0 39 37 0 2
9 Leon 4153 0 746 632 0 68
9 Leon 4154 0 90 11 0 3
9 Leon 4155 0 324 149 0 40
9 Leon 4157 0 376 283 0 20
9 Leon 4159 0 321 222 0 22
9 Leon 4161 0 1069 1279 0 78
9 Leon 4162 0 23 20 0 2
9 Leon 4163 0 792 810 0 86
9 Leon 4167 0 1116 1374 0 126
9 Leon 4168 0 41 37 0 4
9 Leon 4173 0 322 405 0 31
9 Leon 4184 0 345 233 0 21
9 Leon 4401 0 305 297 0 21
9 Leon 4403 0 562 770 0 78
9 Leon 4405 0 783 904 0 73
9 Leon 4408 0 790 769 0 71
9 Leon 4451 0 427 345 0 34
9 Leon 4453 0 562 686 0 39
9 Leon 4455 0 993 1366 0 143
9 Leon 4456 0 91 97 0 13
9 Leon 4457 0 52 58 0 4
9 Leon 4458 0 458 596 0 33
9 Leon 4459 0 1525 1865 0 156
9 Leon 4461 0 895 1110 0 103
9 Leon 5101 0 64 31 0 12
9 Leon 5103 0 682 185 0 39
9 Leon 5105 0 1813 705 0 101
9 Leon 5107 0 243 119 0 15
9 Leon 5110 0 796 354 0 49
9 Leon 5115 0 1003 480 0 64
9 Leon 5153 0 816 792 0 60
9 Leon 5154 0 262 265 0 30
9 Leon 5165 0 112 34 0 5
9 Leon 5204 0 0 0 0 0
9 Leon 5207 0 2149 664 0 114
9 Leon 5209 0 287 92 0 20
9 Leon 5211 0 723 216 0 51
9 Leon 5212 0 92 62 0 7
9 Leon 5214 0 939 434 0 63
9 Leon 5219 0 1173 796 0 86
9 Leon 5220 0 760 392 0 42
9 Leon 5221 0 1315 529 0 92
9 Leon 5223 0 122 44 0 6
9 Leon 5224 0 151 102 0 12
9 Leon 5225 0 1901 1317 0 140
9 Leon 5227 0 154 68 0 10
9 Leon 5228 0 33 31 0 5
9 Leon 5251 0 894 884 0 78
9 Leon 5252 0 155 75 0 10
9 Leon 5258 0 0 0 0 0
9 Leon 5260 0 2214 1025 0 113
9 Leon 5261 0 1157 1048 0 116
9 Leon 5263 0 821 841 0 77
9 Leon 5264 0 60 18 0 1
9 Leon 5265 0 59 8 0 3
9 Leon 5284 0 882 813 0 76
9 Leon 9000 0 215 88 0 31
10 Baker "Baxter 4A" 0 16 163 0 4
10 Baker "Cuyler 4D" 0 57 800 0 19
10 Baker "Glen St. Mary 5A" 0 205 2816 0 52
10 Baker "Macedonia 4C" 0 152 1678 0 41
10 Baker "North Macclenny 3A" 0 323 2435 0 54
10 Baker "Olustee 6A" 0 58 155 0 10
10 Baker "Sanderson 1A" 0 526 1340 0 45
10 Baker "South Macclenny 2A" 0 450 2136 0 73
10 Baker "Taylor 4B" 0 43 478 0 5
10 Columbia "10 Richardson Comm Ctr" 0 698 263 0 51
10 Columbia "12 Supv Elections" 0 325 98 0 18
10 Columbia "13 Supv Elections" 0 8 57 0 2
10 Columbia "14 Supv Elections" 0 96 169 0 7
10 Columbia "15 Winfield Comm Ctr" 0 87 424 0 19
10 Columbia "16 Winfield Comm Ctr" 0 461 1126 0 72
10 Columbia "17 Richardson Comm Ctr" 0 349 673 0 48
10 Columbia "21 Westside Community Ctr" 0 250 1053 0 56
10 Columbia "22 Columbia City" 0 291 1349 0 67
10 Columbia "23 Ft White Comm Center" 0 971 3557 0 182
10 Columbia "31 Westside Community Ctr" 0 438 2158 0 99
10 Columbia "32 Winfield Comm Center" 0 105 271 0 14
10 Columbia "33 Southside Rec Complex" 0 712 3040 0 178
10 Columbia "34 Supv Elections" 0 266 531 0 32
10 Columbia "41 Lulu Comm Center" 0 493 1499 0 91
10 Columbia "42 Lulu Comm Center" 0 14 259 0 12
10 Columbia "43 Mason City Comm Center" 0 255 1416 0 68
10 Columbia "44 Ft White Comm Center" 0 376 1256 0 58
10 Columbia "51 Southside Rec Complex" 0 453 1653 0 80
10 Columbia "52 Columbia City" 0 351 2052 0 90
10 Columbia "53 Supv Elections Office" 0 466 750 0 60
10 Columbia "54 Supv Elections Office" 0 218 582 0 39
10 Hamilton "1 - Jennings City Hall" 0 129 247 0 0
10 Hamilton "2 - Jasper Courthouse" 0 542 334 0 0
10 Hamilton "3 - White Springs Library" 0 274 394 0 0
10 Hamilton "4 - Jasper Civic Center" 0 274 872 0 0
10 Hamilton "5 - Bright Pond Fellowship" 0 38 169 0 0
10 Hamilton "6 - Genoa Vol. Fire Dept." 0 145 445 0 0
10 Hamilton "7 - Bellville Vol. Fire Dept." 0 196 420 0 0
10 Hamilton "8 - Cross Roads" 0 174 961 0 0
10 Suwannee "Precinct 1 - Recreation Center" 0 802 662 0 96
10 Suwannee "Precinct 10 - McAlpin" 0 223 1152 0 53
10 Suwannee "Precinct 11 - O'Brien" 0 208 1189 0 70
