COUNTY AREA TOTAL DEM REP Others
COUNTY AREA TOTAL Bellows Collins Others
WAS MARSHFIELD 0 47 220 0
WAS MEDDYBEMPS 0 16 70 0
WAS MILBRIDGE 0 169 392 0
WAS NORTHFIELD 0 24 73 0
WAS PEMBROKE 0 129 276 1
WAS PERRY 0 121 277 0
WAS "PLEASANT POINT VOTING DISTRICT" 0 91 79 0
WAS PRINCETON 0 102 315 0
WAS ROBBINSTON 0 83 188 0
WAS "ROQUE BLUFFS" 0 54 86 0
WAS STEUBEN 0 155 323 0
WAS TALMADGE 0 7 24 0
WAS TOPSFIELD 0 19 86 0
WAS VANCEBORO 0 20 62 0
WAS WAITE 0 16 35 0
WAS WESLEY 0 9 60 0
WAS WHITING 0 108 191 0
WAS WHITNEYVILLE 0 21 70 0
YOR ACTON 0 284 820 0
YOR ALFRED 0 430 1093 0
YOR ARUNDEL 0 532 1413 0
YOR BERWICK 0 576 1944 0
YOR BIDDEFORD 0 2526 5144 2
YOR BUXTON 2 985 2927 2
YOR CORNISH 0 189 492 0
YOR DAYTON 2 220 783 2
YOR ELIOT 0 941 2044 1
YOR HOLLIS 0 584 1544 0
YOR KENNEBUNK 0 1940 3979 0
YOR KENNEBUNKPORT 0 612 1432 0
YOR KITTERY 0 1572 2335 0
YOR LEBANON 0 458 1645 1
YOR LIMERICK 0 330 933 1
YOR LIMINGTON 0 354 1263 0
YOR LYMAN 0 485 1519 0
YOR NEWFIELD 1 194 489 1
YOR "NORTH BERWICK" 0 513 1650 0
YOR OGUNQUIT 0 281 490 0
YOR "OLD ORCHARD BEACH" 0 1502 2743 10
YOR PARSONSFIELD 1 221 573 1
YOR SACO 0 2606 5574 1
YOR SANFORD 0 2165 5147 1
YOR SHAPLEIGH 0 273 918 0
YOR "SOUTH BERWICK" 0 978 1955 0
YOR WATERBORO 0 700 2309 0
YOR WELLS 0 1399 3528 0
YOR YORK 0 2195 4627 1
STATE UOCAVA 2 414 345 2
STATE "EMERGENCY UTILITY WORKERS" 0 10 80 0
